generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
5,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
10,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
15,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
20,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
25,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
30,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
35,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
40,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
45,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
50,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
55,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
60,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
65,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
70,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
75,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
80,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
85,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0886506,0
90,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
95,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
100,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
105,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
110,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
115,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
120,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
125,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
130,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
135,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
140,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
145,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
150,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
155,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
160,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
165,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
170,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
175,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
180,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
185,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
190,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
195,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
200,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
205,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
210,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
215,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
220,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
225,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
230,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0890711,0
235,Neoponera_bucki,Platythyrea_arnoldi,0,0.156783,0,0.0883632,0
