generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.844281,-4883.34,15,0
5,0,1.49777,-4883.34,5.19759,0.2
10,0,1.49777,-4883.34,5.19759,0.1
15,0,1.49777,-4883.34,5.19759,0.0666667
20,0,1.78723,-4883.34,0.855799,0.1
25,0,1.78723,-4883.34,0.855799,0.08
30,0,1.72326,-4883.34,1.81526,0.133333
35,0,1.72326,-4883.34,1.81526,0.114286
40,0,1.80757,-4883.34,0.550664,0.125
45,0,1.80757,-4883.34,0.550664,0.111111
50,0,1.83407,-4883.34,0.153101,0.12
55,0,1.8343,-4883.34,0.149771,0.127273
60,0,1.8343,-4883.34,0.149771,0.116667
65,0,1.83079,-4883.34,0.202428,0.153846
70,0,1.82143,-4883.34,0.342804,0.157143
75,0,1.82143,-4883.34,0.342804,0.146667
80,0,1.82143,-4883.34,0.342804,0.1375
85,0,1.79472,-4883.34,0.743469,0.141176
90,0,1.79315,-4883.35,0.743469,0.144444
95,0,1.79379,-4883.35,0.733854,0.147368
100,0,1.79379,-4883.35,0.733854,0.14
105,0,1.79379,-4883.35,0.733854,0.133333
110,0,1.79379,-4883.35,0.733854,0.127273
115,0,1.79379,-4883.35,0.733854,0.121739
120,0,1.83593,-4883.35,0.101834,0.133333
125,0,1.83593,-4883.35,0.101834,0.128
130,0,1.83593,-4883.35,0.101834,0.123077
135,0,1.81107,-4883.35,0.47472,0.125926
140,0,1.81107,-4883.35,0.47472,0.121429
145,0,1.81107,-4883.35,0.47472,0.117241
150,0,1.81107,-4883.35,0.47472,0.113333
155,0,1.83365,-4883.35,0.13597,0.116129
160,0,1.83365,-4883.35,0.13597,0.1125
165,0,1.83148,-4883.35,0.168514,0.115152
170,0,1.83414,-4883.35,0.128623,0.117647
175,0,1.83414,-4883.35,0.128623,0.114286
180,0,1.83414,-4883.35,0.128623,0.111111
185,0,1.84002,-4883.35,0.0403788,0.118919
190,0,1.83462,-4883.35,0.121519,0.126316
195,0,1.83987,-4883.35,0.0427721,0.128205
200,0,1.84138,-4883.35,0.0201095,0.13
205,0,1.84193,-4883.35,0.0118603,0.131707
210,0,1.84118,-4883.35,0.0230698,0.133333
215,0,1.82945,-4883.35,0.199027,0.139535
220,0,1.82945,-4883.35,0.199027,0.136364
225,0,1.82945,-4883.35,0.199027,0.133333
230,0,1.80953,-4883.35,0.497759,0.13913
235,0,1.81217,-4883.34,0.497759,0.140426
240,0,1.8371,-4883.34,0.123687,0.141667
245,0,1.83063,-4883.34,0.220752,0.142857
250,0,1.83063,-4883.34,0.220752,0.14
255,0,1.83063,-4883.34,0.220752,0.137255
260,0,1.81751,-4884,0.220752,0.138462
265,0,1.80711,-4883.55,0.220752,0.139623
270,0,1.80711,-4883.55,0.220752,0.137037
275,0,1.80711,-4883.55,0.220752,0.134545
280,0,1.80711,-4883.55,0.220752,0.132143
285,0,1.80711,-4883.55,0.220752,0.129825
290,0,1.80711,-4883.55,0.220752,0.127586
295,0,1.77116,-4884.95,0.220752,0.128814
300,0,1.78137,-4884.95,0.0675355,0.13
305,0,1.71385,-4884.95,1.08029,0.134426
310,0,1.71385,-4884.95,1.08029,0.132258
315,0,1.71385,-4884.95,1.08029,0.130159
320,0,1.73891,-4884.95,0.704527,0.13125
325,0,1.7746,-4884.95,0.169179,0.132308
330,0,1.7746,-4884.95,0.169179,0.130303
335,0,1.69429,-4884.95,1.37369,0.134328
340,0,1.70113,-4884.18,1.12733,0.138235
345,0,1.70113,-4884.18,1.12733,0.136232
350,0,1.70113,-4884.18,1.12733,0.134286
355,0,1.70113,-4884.18,1.12733,0.132394
360,0,1.67779,-4884.18,1.47735,0.136111
365,0,1.74928,-4884.18,0.405071,0.136986
370,0,1.77682,-4883.89,0.405071,0.137838
375,0,1.77682,-4883.89,0.405071,0.136
380,0,1.77682,-4883.89,0.405071,0.134211
385,0,1.63883,-4883.89,2.47493,0.135065
390,0,1.63883,-4883.89,2.47493,0.133333
395,0,1.63883,-4883.89,2.47493,0.131646
400,0,1.77719,-4883.89,0.399565,0.135
405,0,1.79343,-4883.89,0.155945,0.135802
410,0,1.79343,-4883.89,0.155945,0.134146
415,0,1.77934,-4883.89,0.367291,0.13494
420,0,1.77934,-4883.89,0.367291,0.133333
425,0,1.65893,-4883.89,2.17338,0.136471
430,0,1.75347,-4883.89,0.755369,0.139535
435,0,1.76214,-4883.47,0.755369,0.14023
440,0,1.722,-4883.47,1.35756,0.140909
445,0,1.78813,-4885.12,0.730584,0.14382
450,0,1.81684,-4883.42,0.730584,0.144444
455,0,1.81646,-4883.41,0.730584,0.145055
460,0,1.84064,-4883.41,0.36786,0.145652
465,0,1.72052,-4883.44,2.06658,0.150538
470,0,1.67961,-4885.41,2.06658,0.151064
475,0,1.78406,-4885.41,0.499824,0.151579
480,0,1.63072,-4885.41,2.7999,0.152083
485,0,1.54078,-4885.41,4.14902,0.152577
490,0,1.54078,-4885.41,4.14902,0.15102
495,0,1.54078,-4885.41,4.14902,0.149495
500,0,1.71319,-4884.18,2.39772,0.152
505,0,1.78495,-4884.18,1.32126,0.2
510,0,1.76427,-4883.35,1.32126,0.2
515,0,1.78269,-4883.35,1.0449,0.2
520,0,1.78269,-4883.35,1.0449,0.15
525,0,1.72038,-4883.35,1.97961,0.16
530,0,1.72038,-4883.35,1.97961,0.133333
535,0,1.72038,-4883.35,1.97961,0.114286
540,0,1.75403,-4883.35,1.47477,0.125
545,0,1.75403,-4883.35,1.47477,0.111111
550,0,1.75403,-4883.35,1.47477,0.1
555,0,1.75403,-4883.35,1.47477,0.0909091
560,0,1.75403,-4883.35,1.47477,0.0833333
565,0,1.80581,-4883.35,0.698161,0.0923077
570,0,1.80581,-4883.35,0.698161,0.0857143
575,0,1.80581,-4883.35,0.698161,0.08
580,0,1.7986,-4883.35,0.806208,0.0875
585,0,1.7986,-4883.35,0.806208,0.0823529
590,0,1.8018,-4883.35,0.758307,0.0888889
595,0,1.84227,-4883.35,0.151194,0.0947368
600,0,1.84227,-4883.35,0.151194,0.09
605,0,1.80873,-4883.35,0.654359,0.0952381
