generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,3,1
3000,2,4,1
4000,1,4,1
5000,3,4,1
6000,2,4,1
7000,2,3,1
8000,1,2,1
9000,1,2,1
10000,2,4,1
11000,2,3,1
12000,1,3,1
13000,1,2,1
14000,1,3,1
15000,1,2,1
16000,1,4,1
17000,2,3,1
18000,1,4,1
19000,2,3,1
20000,1,2,1
21000,1,4,1
22000,1,4,1
23000,1,3,1
24000,1,4,1
25000,2,3,0
26000,2,3,1
27000,1,3,1
28000,3,4,1
29000,2,4,1
30000,1,3,1
31000,2,3,1
32000,1,3,1
33000,1,3,1
34000,1,3,1
35000,2,3,1
36000,1,2,1
37000,1,2,1
38000,2,3,1
39000,3,4,1
40000,1,4,1
41000,1,3,1
42000,3,4,1
43000,2,3,1
44000,1,3,1
45000,2,4,1
46000,1,4,1
47000,1,4,1
48000,1,2,1
49000,1,4,1
50000,1,3,1
51000,2,3,1
52000,1,2,1
53000,1,3,1
54000,3,4,1
55000,1,2,1
56000,3,4,0
57000,2,3,1
58000,2,4,1
59000,1,4,1
60000,3,4,1
61000,1,3,0
62000,1,2,1
63000,2,4,1
64000,1,2,1
65000,3,4,1
66000,2,4,1
67000,1,2,1
68000,1,4,1
69000,1,4,1
70000,1,2,1
71000,2,4,1
72000,2,4,1
73000,1,4,1
74000,2,3,1
75000,2,4,1
76000,1,3,1
77000,2,3,1
78000,1,2,1
79000,1,3,1
80000,1,4,1
81000,1,3,1
82000,3,4,1
83000,1,3,1
84000,1,4,1
85000,1,4,1
86000,3,4,1
87000,1,2,0
88000,1,4,0
89000,1,4,0
90000,3,4,1
91000,1,3,0
92000,1,4,0
93000,2,3,1
94000,2,4,1
95000,2,3,1
96000,1,2,0
97000,2,4,1
98000,2,3,1
99000,1,2,1
100000,1,4,0
101000,2,4,0
102000,2,3,0
103000,2,4,1
104000,3,4,1
105000,1,3,1
106000,2,4,1
107000,2,3,1
108000,1,4,0
109000,1,2,1
110000,2,4,0
111000,1,2,1
112000,1,2,1
113000,1,2,1
114000,1,2,0
115000,3,4,1
116000,1,3,0
117000,2,4,1
118000,1,4,1
119000,2,4,1
120000,2,4,0
121000,1,4,1
122000,1,2,1
123000,1,4,1
124000,2,4,1
125000,1,2,1
126000,2,4,1
127000,2,3,1
128000,1,4,0
129000,3,4,1
130000,1,3,0
131000,2,4,1
132000,1,4,0
133000,2,4,1
134000,1,4,0
135000,1,4,1
136000,1,3,1
137000,1,2,1
138000,2,3,1
139000,1,2,1
140000,1,2,1
141000,1,4,1
142000,2,4,1
143000,1,2,0
144000,2,4,1
145000,2,4,1
146000,2,3,1
147000,2,4,0
148000,1,2,1
149000,2,3,1
150000,2,4,1
151000,2,4,1
152000,2,3,1
153000,2,3,1
154000,1,4,0
155000,1,3,1
156000,2,4,1
157000,3,4,0
158000,2,4,1
159000,1,3,1
160000,1,2,1
161000,2,4,0
162000,2,3,1
163000,1,3,1
164000,1,4,0
165000,1,3,0
166000,1,3,0
167000,1,4,0
168000,2,4,1
169000,1,2,1
170000,1,2,1
171000,2,4,1
172000,1,3,1
173000,2,3,1
174000,1,2,1
175000,2,4,1
176000,1,4,0
177000,1,2,1
178000,1,2,1
179000,3,4,1
180000,1,2,1
181000,2,4,0
182000,2,4,0
183000,2,3,0
184000,1,4,1
185000,3,4,1
186000,2,3,0
187000,2,4,1
188000,1,4,1
189000,1,4,1
190000,1,4,1
191000,2,3,1
192000,1,3,0
193000,3,4,1
194000,1,2,1
195000,3,4,1
196000,2,4,1
197000,1,2,1
198000,1,3,1
199000,1,3,1
200000,3,4,1
201000,3,4,1
202000,1,2,1
203000,2,4,1
204000,1,4,1
205000,1,3,1
206000,1,4,1
207000,1,3,1
208000,1,4,0
209000,2,3,1
210000,2,3,1
211000,1,4,1
212000,2,3,1
213000,1,3,1
214000,3,4,1
215000,2,4,1
216000,1,2,0
217000,1,4,1
218000,2,4,1
219000,1,3,1
220000,1,3,1
221000,1,2,1
222000,1,3,1
223000,1,2,1
224000,2,3,1
225000,1,3,1
226000,2,4,1
227000,3,4,1
228000,2,4,1
229000,2,4,1
230000,1,3,1
231000,1,4,0
232000,2,3,1
233000,2,3,1
234000,2,4,1
235000,1,4,1
236000,3,4,1
237000,3,4,1
238000,1,3,1
239000,1,3,0
240000,1,4,1
241000,1,3,1
242000,2,3,1
243000,2,3,1
244000,2,4,1
245000,2,4,0
246000,2,4,0
247000,1,3,1
248000,1,2,1
249000,2,3,0
250000,2,4,0
251000,2,3,1
252000,1,2,0
253000,1,2,1
254000,2,3,1
255000,2,4,0
256000,1,4,1
257000,1,2,1
258000,2,4,1
259000,1,4,1
260000,1,4,1
261000,2,3,1
262000,1,4,0
263000,2,4,1
264000,1,2,1
265000,1,4,1
266000,1,4,1
267000,3,4,1
268000,2,4,1
269000,1,4,1
270000,1,3,1
271000,1,3,1
272000,1,4,0
273000,1,3,1
274000,1,4,0
275000,1,4,0
276000,1,3,1
277000,1,4,1
278000,1,2,0
