generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.155658,0,0.122931,0
5000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.173977,-0.000930261,0.127357,0
10000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.181948,-0.0011368,0.139255,0
15000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.179337,-0.00187984,0.122351,0
20000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.174827,-0.00296883,0.116265,0
20000,Leptogenys_afr01,Leptogenys_pe02,71.3253,0.467664,0.00779134,0.341684,0
25000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.132503,-0.00331853,0.0667895,0
25000,Leptogenys_afr01,Leptogenys_pe02,71.2966,0.618678,0.00613348,0.532388,0
30000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.12731,-0.00310201,0.0638931,0
30000,Leptogenys_afr01,Leptogenys_pe02,70.6704,0.744633,-0.00176387,0.588304,0
30000,Hypoponera_mg024,Hypoponera_sc_amba,84.0876,0.371152,-0.0159282,0.0947921,0
35000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.140593,-0.00300719,0.0754051,0
35000,Leptogenys_afr01,Leptogenys_pe02,69.883,0.625065,0.00841986,0.545446,0
35000,Hypoponera_mg024,Hypoponera_mg025,86.3117,0.322545,-0.0127922,0.0408446,0
40000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.115936,-0.0027372,0.0549023,0
40000,Leptogenys_afr01,Leptogenys_pe02,71.6995,0.746874,-0.00627831,0.501738,0
40000,Hypoponera_mg024,Hypoponera_sakalava,81.2641,0.191997,0.00350681,0.0339597,0
45000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.100472,-0.00130948,0.0460036,0
45000,Leptogenys_afr01,Leptogenys_pe02,71.8238,0.717991,-0.00632941,0.512893,0
45000,Hypoponera_mg024,Hypoponera_sc_anja,73.1894,0.146374,0.00780645,0.0843488,0
50000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.147302,-0.00400432,0.0742625,0
50000,Leptogenys_afr01,Leptogenys_pe02,72.0716,0.822621,-0.00685133,0.603341,0
50000,Hypoponera_dias12,Hypoponera_boliviana_ms,74.0158,0.316897,0.0024038,0.229049,0
55000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.136126,-0.00400432,0.0693781,0
55000,Leptogenys_afr01,Leptogenys_pe02,72.0872,0.737637,-0.00438253,0.517761,0
55000,Hypoponera_dias12,Hypoponera_boliviana_ms,80.4691,0.211633,0.0212729,0.137954,0
60000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.108019,-0.00152452,0.0556577,0
60000,Odontomachus_cephalotes,Odontomachus_testaceus,45.1441,0.110902,-0.0135293,0.0850494,0
60000,Leptogenys_afr01,Leptogenys_pe02,72.6969,0.807198,-0.00629749,0.610164,0
60000,Hypoponera_mg024,Hypoponera_mg025,86.8638,0.301024,0.00908194,0.108471,0
60000,Hypoponera_dias12,Hypoponera_boliviana_ms,73.89,0.26696,-0.0106253,0.0503729,0
65000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0884703,0.000217715,0.0505811,0
65000,Leptogenys_afr01,Leptogenys_pe02,70.2051,0.856781,-0.00708113,0.556355,0
65000,Hypoponera_mg024,Hypoponera_sc_amba,84.9329,0.387198,0.00478739,0.0485195,0
65000,Hypoponera_cn01,Hypoponera_assmuthi,92.3475,0.421219,0.00529543,0.698344,0
70000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0980814,-0.000761295,0.0589081,0
70000,Leptogenys_afr01,Leptogenys_pe02,70.0869,0.754638,-0.00437651,0.484794,0
70000,Hypoponera_mg024,Hypoponera_mg025,89.4215,0.287485,0.00417664,0.0126009,0
75000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.137691,-0.00312814,0.0763454,0
75000,Leptogenys_afr01,Leptogenys_pe02,72.2697,0.897442,-0.00226957,0.720207,0
75000,Hypoponera_mj_fogo07,Hypoponera_psw_cn01,78.2762,0.451282,-0.0182797,0.208377,0
80000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.0942667,-0.00113509,0.040517,0
80000,Leptogenys_afr01,Leptogenys_pe02,70.4549,0.66864,0.00426771,0.549772,0
80000,Hypoponera_mg024,Hypoponera_sakalava,80.5474,0.205304,-0.0118969,0.0732309,0
80000,Hypoponera_mj_fogo07,Hypoponera_sky_f,85.1101,0.413377,-0.0271975,0.00768995,0
85000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.110612,-0.00155966,0.0505787,0
85000,Leptogenys_afr01,Leptogenys_pe02,72.0457,0.701041,-0.00959252,0.390474,0
85000,Hypoponera_mg024,Hypoponera_sakalava,81.9708,0.201454,0.00132681,0.0573582,0
85000,Belonopelta_attenuata,Simopelta_jtl003,2.11707,0.0651967,-0.00937186,0.011091,0
90000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.129697,-0.00155966,0.0717863,0
90000,Leptogenys_afr01,Leptogenys_pe02,72.0853,0.711827,-0.00618884,0.489746,0
90000,Hypoponera_mg024,Hypoponera_mg025,88.8739,0.508393,-0.0157853,0.173239,0
90000,Belonopelta_attenuata,Simopelta_jtl003,1.68,0.068526,-0.00907339,0.00856253,0
95000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.132377,-0.00205056,0.0655715,0
95000,Leptogenys_afr01,Leptogenys_pe02,71.1934,0.697972,-1.23626e-006,0.529541,0
95000,Hypoponera_mg024,Hypoponera_sc_anka,77.4522,0.240021,-0.00449878,0.0326995,0
95000,Belonopelta_attenuata,Simopelta_jtl003,1.82294,0.086092,-0.010688,0.0187157,0
100000,Anochetus_afr01,Platythyrea_afrc_tz01,0,0.100877,-0.00187681,0.0518196,0
