generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.22034,-5324.56,15,0
5000,0,1.11829,-5321.37,0.487018,0.148
10000,0,1.01661,-5319.62,1.11802,0.144
15000,0,1.13783,-5318.58,0.035933,0.136
20000,1,3.29202,-5139.48,0.313909,0.174182
25000,1,2.5785,-5132.26,1.17003,0.236
30000,2,4.61478,-5123.31,2.08978,0.267846
35000,2,5.47085,-5126.34,1.00302,0.322
40000,2,6.21928,-5125.81,4.19786,0.302
45000,2,6.15134,-5133.67,4.5323,0.254
50000,2,4.83262,-5123.79,0.450604,0.256615
55000,2,4.38361,-5124,1.6232,0.296286
60000,4,11.7985,-5114.01,5.87471,0.326
65000,3,6.65795,-5131.48,2.39937,0.302
70000,2,6.13897,-5127.48,4.33693,0.290571
75000,2,2.88436,-5117.48,1.6512,0.324
80000,3,6.73851,-5104.65,4.78016,0.321459
85000,3,10.9016,-5077.17,0.97326,0.255333
90000,3,8.54838,-5065.33,1.05466,0.19
95000,3,10.1843,-5071.2,4.71519,0.2
100000,4,11.6407,-5096.62,3.5688,0.31
105000,5,17.4955,-5055.31,4.17031,0.274769
110000,6,15.6742,-5086.62,6.30043,0.338
115000,5,16.416,-5041.44,2.69171,0.242
120000,4,11.6919,-5087.02,2.56078,0.31
125000,5,15.0115,-5044.87,3.14783,0.3092
130000,5,17.7518,-5045.12,3.23938,0.276
135000,3,9.93067,-5104.75,5.01342,0.270222
140000,2,5.50965,-5109.18,1.52166,0.228667
145000,7,22.2582,-5041.29,5.52864,0.334
150000,7,20.089,-5061.78,6.99237,0.294
155000,7,20.8347,-5036.16,9.32034,0.313733
160000,3,7.37765,-5076.79,3.95969,0.251487
165000,9,23.2797,-5020.88,7.76748,0.292
170000,9,28.046,-5024.89,8.22899,0.343333
175000,7,22.7392,-5032.25,10.334,0.316
180000,6,16.3167,-5044.56,4.79106,0.2884
185000,5,16.3114,-5042.49,3.74244,0.296
190000,7,21.1753,-5035.4,7.88566,0.315333
195000,5,17.6021,-5046.87,2.83807,0.306
200000,5,15.4406,-5042.36,3.88339,0.308
205000,4,13.7334,-5053.26,4.24498,0.264
210000,6,19.3197,-5020.55,4.02552,0.264
215000,7,24.6417,-5034.33,4.35729,0.346
220000,6,21.2461,-5045.98,14.006,0.301333
225000,5,16.2354,-5029.96,4.75661,0.2808
230000,7,23.0021,-5031.45,7.32933,0.316941
235000,4,13.851,-5052.65,4.04464,0.2776
240000,8,29.1554,-5020.71,8.26014,0.342182
245000,4,14.2168,-5055.58,2.99753,0.292
250000,7,21.3784,-5020.63,6.95688,0.338
255000,4,13.7301,-5052.15,2.5476,0.27
260000,10,34.2785,-5017.92,11.9087,0.335333
265000,9,29.994,-5014.92,15.7197,0.31904
270000,9,29.4614,-5014.16,4.902,0.351333
275000,11,36.2225,-5008.69,13.7674,0.362
280000,8,24.0352,-5022.98,3.70613,0.29
285000,11,33.5707,-5019.31,8.03605,0.358
290000,11,31.0053,-4995.7,8.49955,0.37
295000,10,27.2159,-5010.76,10.6134,0.342
300000,10,31.2568,-5012.08,7.82041,0.316
305000,11,33.6997,-4994.52,11.2555,0.322
310000,7,22.5957,-5022.68,7.41111,0.296857
315000,9,29.9439,-5015.55,14.2225,0.32
320000,9,29.7979,-5014.17,12.9149,0.292
325000,8,26.6421,-5010.32,4.28182,0.318
330000,9,29.7521,-5010.69,12.3788,0.332
335000,8,20.9544,-5017.95,7.34499,0.326
340000,8,25.3344,-5009.95,9.14876,0.276
345000,8,22.6242,-5000.64,5.28669,0.282
350000,10,35.9493,-5008.33,11.8184,0.34
355000,7,22.6617,-5029.39,6.32739,0.318
360000,7,24.227,-5030.7,7.42759,0.306
365000,7,22.4573,-5037.35,6.24921,0.322267
370000,10,36.0825,-5006.08,6.14914,0.378
375000,11,38.8295,-4996.08,14.0533,0.332
380000,9,30.4422,-5012.43,8.81533,0.33
385000,6,20.3332,-5043.14,3.64281,0.28
390000,6,19.0839,-5032.8,6.83241,0.244
395000,12,37.6511,-4985.57,12.45,0.292
400000,13,45.1461,-4987.77,18.0855,0.382
405000,10,31.8907,-4990.24,11.3403,0.3
410000,11,26.9033,-4986.43,11.3789,0.328
415000,8,27.7707,-5018.35,4.74245,0.284
420000,10,32.8971,-5011.6,7.0741,0.316
425000,8,24.0027,-5016.39,6.07649,0.299091
430000,8,24.3332,-5012.81,7.98073,0.232
435000,6,19.3056,-5047.8,4.19578,0.304
440000,9,27.5941,-5006.38,9.40701,0.268
445000,10,27.6609,-4996.7,8.09734,0.294
450000,7,24.1063,-5022.34,6.05637,0.303733
455000,9,27.5388,-5022.13,10.6192,0.304
460000,9,29.0176,-4995.09,7.08311,0.314
465000,10,32.7982,-4996.61,9.53559,0.346
470000,8,28.0843,-5008.14,4.8899,0.272
475000,8,27.337,-5019.68,8.24929,0.29
480000,10,35.3146,-5008.4,8.13942,0.332
485000,8,26.6064,-5004.8,7.66244,0.298
490000,7,22.9445,-5019.73,8.29663,0.3
495000,7,21.9664,-5019.83,11.4839,0.314
500000,9,28.5059,-5015.39,7.62975,0.304
505000,9,30.3047,-5007,10.791,0.328
510000,8,24.3341,-5001.1,5.55042,0.328
515000,5,16.3668,-5032.59,13.4168,0.241333
520000,7,20.5922,-5020.59,7.19492,0.31559
525000,7,21.9907,-5018.59,10.7597,0.295333
530000,8,26.773,-5004.89,10.2017,0.286
535000,6,18.8385,-5030.34,8.11046,0.296
540000,8,26.1315,-5008.72,11.6306,0.286
545000,8,26.3469,-5001.25,5.39924,0.32
550000,9,23.9204,-4990.64,6.16272,0.318
555000,8,28.4039,-5017.9,13.9082,0.324
560000,6,20.2094,-5027.9,9.10012,0.271455
565000,10,34.2966,-4993.83,10.7081,0.318
570000,10,36.0551,-4998.69,8.05618,0.348
575000,10,36.3784,-4998.67,8.47,0.32
580000,9,30.6255,-4996.09,5.64505,0.328
585000,11,32.9043,-4995.88,9.50941,0.316
590000,9,29.8945,-5004.87,8.61975,0.324
595000,10,30.8705,-4994.79,6.35338,0.319846
600000,9,30.9498,-5019.41,5.89294,0.344
605000,8,25.5588,-5000.52,7.12961,0.326
610000,16,51.8123,-4978.69,19.3242,0.386
615000,6,17.7721,-5032.66,5.65544,0.302
620000,10,34.9691,-4999.5,6.18884,0.31176
625000,12,40.795,-4977.17,11.5679,0.402
630000,6,19.935,-5024.82,7.07018,0.302
635000,7,23.4855,-5022.84,6.73986,0.278857
640000,8,25.3117,-5009.38,8.03358,0.298103
645000,8,21.7597,-5014.43,6.94315,0.286
650000,10,30.3055,-4986.73,9.34113,0.338
655000,6,17.8304,-5028.09,7.61353,0.274581
660000,9,18.5323,-5010.29,11.9694,0.306
665000,9,28.4944,-4999.31,4.32153,0.299333
670000,10,30.5081,-4987.43,9.45357,0.344
675000,11,27.8071,-4988.96,10.1112,0.335333
680000,10,28.4614,-4992,14.3717,0.308
685000,8,23.9591,-5013.55,12.5226,0.285191
690000,11,31.899,-4986.19,17.0425,0.3296
695000,8,28.2753,-5004.16,7.84362,0.338
700000,9,24.8145,-4987.23,9.77429,0.306
705000,9,26.886,-4997.91,14.0641,0.36
710000,8,24.8431,-5010.5,7.90193,0.316
715000,9,28.781,-4992.51,6.09786,0.326
720000,9,22.5014,-5001.02,4.86911,0.304
725000,8,27.4159,-5012.27,11.5799,0.33
730000,6,21.2937,-5027.05,6.33089,0.344
735000,6,19.1016,-5019.64,7.40952,0.28
740000,8,21.6004,-4995.39,10.3488,0.288
745000,6,19.2684,-5024.6,3.3913,0.256918
750000,9,27.6508,-4993.84,9.32,0.292
755000,7,21.7122,-5024.76,4.92289,0.31
760000,6,19.203,-5016.69,7.63036,0.222
765000,10,26.4338,-5000.16,11.2331,0.33
770000,11,31.7828,-4985.88,9.62467,0.356
775000,9,25.5353,-4996.99,8.11288,0.358
780000,9,17.9512,-4992.85,11.574,0.326
785000,9,26.164,-5003.51,6.50358,0.336
790000,8,26.9906,-5000.09,7.5574,0.352
795000,6,21.9012,-5030.3,6.69352,0.281091
800000,9,30.2964,-5016.13,4.0522,0.348
805000,5,18.4061,-5029.06,3.79239,0.316
810000,6,19.6218,-5017.1,6.76949,0.288
815000,6,20.9504,-5021.01,9.10651,0.326
820000,6,17.5051,-5025.27,9.97178,0.248
825000,6,19.7868,-5018.51,7.38466,0.299368
830000,8,23.5866,-4994.08,10.2062,0.286
835000,9,27.8805,-4992.45,6.69923,0.322
840000,6,22.5029,-5026.33,6.13008,0.302667
845000,10,30.5418,-4986,8.56658,0.296
850000,9,26.8309,-4981.11,10.3656,0.316
855000,9,26.9054,-4994.41,9.07503,0.312
860000,9,25.7165,-4989.78,6.02033,0.305556
865000,9,30.0273,-4987.26,13.0551,0.268
870000,8,26.3911,-5002.65,8.42869,0.332
875000,9,25.4037,-4989.9,17.2795,0.316
880000,7,24.1106,-5013.02,10.6493,0.276174
885000,9,32.4661,-4997.44,15.696,0.362
890000,7,23.101,-5016.47,9.40637,0.266667
895000,6,21.3816,-5025.87,5.11566,0.3
900000,10,34.0721,-4990.87,8.3162,0.34
905000,10,27.523,-4984.56,11.6515,0.324
910000,10,27.6848,-4987.8,3.59436,0.304
915000,10,31.1859,-4984.21,7.81053,0.39
920000,8,25.715,-5012.41,6.83278,0.28576
925000,9,24.6148,-4982.18,7.25071,0.319077
930000,7,21.3233,-5011.76,9.08746,0.288
935000,10,30.6125,-4997.59,7.57796,0.339846
940000,5,18.0844,-5029.88,5.10432,0.34
945000,7,22.6181,-5021.71,6.19809,0.288
950000,10,31.6407,-4994.19,10.4901,0.366
955000,9,23.8083,-4990.84,9.49633,0.314667
960000,10,32.2082,-4990.75,11.294,0.328
965000,6,22.7961,-5032.75,10.0566,0.300216
970000,10,30.3171,-4996.34,7.2162,0.322
975000,13,41.3315,-4986.7,10.4476,0.35
980000,9,25.2702,-5012.6,10.1351,0.3
985000,10,32.3284,-4992.28,16.0954,0.324
990000,8,26.9412,-5019.29,6.31429,0.268
995000,7,20.3922,-5008.29,7.78396,0.268
1000000,10,29.3761,-5001.12,5.83604,0.328
1005000,7,23.0033,-5017.73,6.56278,0.301158
1010000,10,31.4254,-4983.4,7.14017,0.326
1015000,12,31.0155,-4986.38,10.8176,0.362
1020000,8,29.1249,-5016.94,3.15415,0.2968
1025000,10,31.535,-4994.69,6.65499,0.32
1030000,8,27.85,-5023.46,3.42027,0.309714
1035000,11,30.7337,-4993.5,13.9076,0.304
1040000,8,27.438,-5016.3,3.69842,0.293647
1045000,13,43.0695,-4984.49,18.7629,0.342
1050000,7,23.7726,-5019.3,7.55664,0.299368
1055000,7,21.2202,-5032.76,7.00221,0.316
1060000,8,27.5224,-5032.61,8.73184,0.282
1065000,8,28.1682,-5017.27,12.4324,0.31437
1070000,7,23.6037,-5014.58,5.05131,0.311394
1075000,6,21.3628,-5018.19,5.99485,0.323895
1080000,14,41.5178,-4989.03,12.0996,0.364
