generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,1,3,1
3000,1,3,1
4000,2,3,1
5000,2,4,1
6000,1,3,1
7000,2,4,1
8000,1,3,1
9000,1,2,1
10000,1,4,1
11000,1,3,1
12000,2,3,1
13000,1,2,1
14000,2,3,1
15000,1,4,1
16000,3,4,1
17000,3,4,1
18000,3,4,1
19000,3,4,1
20000,1,4,1
21000,1,2,1
22000,3,4,1
23000,1,2,1
24000,2,4,1
25000,2,3,1
26000,2,4,1
27000,1,2,1
28000,1,3,1
29000,3,4,1
30000,1,3,1
31000,1,4,1
32000,2,4,1
33000,1,3,1
34000,2,4,1
35000,1,4,1
36000,1,3,1
37000,1,4,1
38000,1,4,1
39000,1,4,1
40000,3,4,1
41000,2,4,1
42000,1,4,1
43000,1,2,1
44000,3,4,1
45000,1,2,1
46000,1,2,1
47000,1,3,1
48000,1,3,1
49000,1,4,1
50000,1,3,1
