generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Moringua_edwardsi,Elops_saurus,0,0.0297364,0,0,0
50,Moringua_edwardsi,Elops_saurus,0,0.0263572,0,0,0
100,Moringua_edwardsi,Elops_saurus,0,0.024328,0,0,0
150,Moringua_edwardsi,Elops_saurus,0,0.0369048,0,0,0
200,Moringua_edwardsi,Elops_saurus,0,0.031394,0,0,0
250,Moringua_edwardsi,Elops_saurus,0,0.0360874,0,0,0
300,Moringua_edwardsi,Elops_saurus,0,0.0328918,0,0,0
350,Moringua_edwardsi,Elops_saurus,0,0.0324102,0,0,0
400,Moringua_edwardsi,Elops_saurus,0,0.0221322,0,0,0
450,Moringua_edwardsi,Elops_saurus,0,0.0303277,0,0,0
500,Moringua_edwardsi,Elops_saurus,0,0.0383012,-0.00110677,0,0
550,Moringua_edwardsi,Elops_saurus,0,0.0331973,-0.00110677,0,0
600,Moringua_edwardsi,Elops_saurus,0,0.0371113,-0.00110677,0,0
650,Moringua_edwardsi,Elops_saurus,0,0.0256101,-0.00110677,0,0
700,Moringua_edwardsi,Elops_saurus,0,0.0289579,-0.00112023,0,0
750,Moringua_edwardsi,Elops_saurus,0,0.0279798,-0.00112023,0,0
800,Moringua_edwardsi,Elops_saurus,0,0.02928,-0.00112023,0,0
850,Moringua_edwardsi,Elops_saurus,0,0.0326566,-0.00112023,0,0
900,Moringua_edwardsi,Elops_saurus,0,0.0326566,-0.00112023,0,0
950,Moringua_edwardsi,Elops_saurus,0,0.0385346,-0.00112023,0,0
1000,Moringua_edwardsi,Elops_saurus,0,0.0274978,-0.00112023,0,0
1050,Moringua_edwardsi,Elops_saurus,0,0.0373048,-0.00112023,0,0
1100,Moringua_edwardsi,Elops_saurus,0,0.0240518,-0.00131778,0,0
1150,Moringua_edwardsi,Elops_saurus,0,0.0307857,-0.00131778,0,0
1200,Moringua_edwardsi,Elops_saurus,0,0.032933,-0.00131778,0,0
1250,Moringua_edwardsi,Elops_saurus,0,0.0332074,-0.00299304,0,0
1300,Moringua_edwardsi,Elops_saurus,0,0.0332074,-0.00299304,0,0
1350,Moringua_edwardsi,Elops_saurus,0,0.033333,-0.00299304,0,0
1400,Moringua_edwardsi,Elops_saurus,0,0.033333,-0.00299304,0,0
1450,Moringua_edwardsi,Elops_saurus,0,0.035628,-0.00299304,0,0
1500,Moringua_edwardsi,Elops_saurus,0,0.0405327,-0.00299304,0,0
1550,Moringua_edwardsi,Elops_saurus,0,0.0372713,-0.00299304,0,0
1600,Moringua_edwardsi,Elops_saurus,0,0.0336583,-0.00299304,0,0
1650,Moringua_edwardsi,Elops_saurus,0,0.0336583,-0.00299304,0,0
1700,Moringua_edwardsi,Elops_saurus,0,0.0351725,-0.00299304,0,0
1750,Moringua_edwardsi,Elops_saurus,0,0.0332314,-0.00299304,0,0
1800,Moringua_edwardsi,Elops_saurus,0,0.030134,-0.00299304,0,0
1850,Moringua_edwardsi,Elops_saurus,0,0.038647,-0.00299304,0,0
1900,Moringua_edwardsi,Elops_saurus,0,0.0493266,-0.0054123,0,0
