generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.09209,-266.408,0.865406,1
25,0,5.11539,-266.429,0.837399,0.36
50,0,5.7887,-266.429,0.164089,0.3
75,0,5.80125,-266.429,0.151535,0.36
100,0,5.85283,-266.962,0.127207,0.34
125,0,5.71162,-267.371,0.212838,0.32
150,0,5.40101,-267.371,0.523451,0.326667
175,0,4.38384,-266.845,1.55182,0.342857
200,0,5.65292,-266.845,0.282734,0.355
225,0,5.84606,-267.06,0.0845423,0.351111
250,0,5.51667,-267.06,0.413926,0.384
275,0,5.52964,-266.411,0.426083,0.374545
300,0,5.41469,-266.411,0.541032,0.363333
325,0,5.93612,-266.411,0.019597,0.381538
350,0,5.81534,-267.383,0.108909,0.382857
375,0,5.3937,-266.41,0.562182,0.389333
400,0,5.8447,-266.41,0.111185,0.38
425,0,4.3319,-266.63,1.64012,0.385882
450,0,4.42068,-267.005,1.54376,0.386667
475,0,4.06456,-266.114,1.8795,0.378947
500,0,5.79629,-266.114,0.147775,0.378
525,0,4.58775,-266.114,1.35631,0.373333
550,0,5.8643,-266.114,0.0797565,0.367273
575,0,5.15913,-266.114,0.784932,0.372174
600,0,4.73886,-265.979,1.19629,0.368333
625,0,4.67108,-265.979,1.26406,0.3648
650,0,5.27393,-266.252,0.675081,0.369231
675,0,5.60807,-266.015,0.330539,0.368889
700,0,5.14768,-266.015,0.79093,0.364286
725,0,5.70947,-266.23,0.202354,0.358621
750,0,4.67122,-266.23,1.2406,0.357333
775,0,4.66516,-266.421,1.2406,0.353548
800,0,4.85018,-266.421,1.05558,0.355
825,0,5.70533,-266.421,0.200437,0.349091
850,0,5.80938,-267.717,0.0706901,0.347059
875,0,5.8024,-267.717,0.0776727,0.342857
900,0,3.31758,-267.173,2.5716,0.346667
925,0,5.80292,-266.996,0.0896017,0.349189
950,0,5.80012,-266.755,0.0973972,0.350526
975,0,5.75547,-267.307,0.213214,0.351795
1000,0,4.98446,-267.129,0.9818,0.353646
1025,0,5.82282,-267.881,0.0884407,0.352827
1050,0,5.39122,-269.478,0.499599,0.352997
1075,0,5.42981,-267.297,0.499599,0.348513
1100,0,5.73291,-267.297,0.196499,0.346049
1125,0,5.57696,-267.417,0.345419,0.343694
1150,0,5.32185,-267.847,0.627666,0.34318
1175,0,5.56289,-267.953,0.347114,0.343537
1200,0,5.53796,-269.73,0.350368,0.34388
1225,0,5.86153,-269.73,0.026797,0.345024
1250,0,5.41472,-268.947,0.481777,0.344524
1275,0,5.67377,-267.311,0.254077,0.344044
1300,0,5.45336,-267.311,0.474493,0.343582
1325,0,5.65966,-267.311,0.268191,0.344646
1350,0,5.3155,-269.2,0.648009,0.343449
1375,0,5.81142,-268.016,0.14051,0.34375
1400,0,5.75601,-268.016,0.195917,0.341899
1425,0,5.41456,-268.016,0.537369,0.340813
1450,0,5.6944,-267.291,0.236518,0.341144
1475,0,5.86733,-267.337,0.0586883,0.342818
1500,0,5.92373,-268.426,0.032963,0.341772
1525,0,5.80096,-269.921,0.0855556,0.342071
1550,0,5.26599,-267.41,0.656649,0.341715
1575,0,4.63465,-267.498,1.30809,0.341371
1600,0,5.75474,-269.472,0.136138,0.342911
1625,0,5.06937,-269.472,0.82151,0.343173
1650,0,5.26682,-269.472,0.62406,0.341611
1675,0,4.51885,-267.825,1.39344,0.341885
1700,0,5.2969,-267.825,0.615388,0.343327
1725,0,4.98744,-267.825,0.924853,0.34299
1750,0,5.87735,-267.825,0.0349377,0.344375
1775,0,5.77801,-267.825,0.134279,0.342342
1800,0,5.8244,-267.292,0.108146,0.344808
1825,0,5.86091,-267.314,0.0667052,0.343921
1850,0,5.922,-267.308,0.012883,0.343598
1875,0,5.88989,-267.308,0.0449978,0.343284
1900,0,5.54897,-267.308,0.38591,0.342451
1925,0,4.56125,-267.308,1.37363,0.341641
1950,0,5.25154,-267.308,0.683346,0.339826
1975,0,5.90884,-267.327,0.0275268,0.341599
2000,0,5.84239,-267.263,0.13881,0.34033
2025,0,5.97509,-267.263,0.00610981,0.341066
2050,0,5.89865,-266.933,0.0603928,0.340809
2075,0,5.93913,-267,0.0161655,0.339595
2100,0,5.90373,-267.39,0.0799818,0.341742
2125,0,5.89648,-268.201,0.0336294,0.341957
2150,0,5.4415,-267.034,0.512385,0.343561
2175,0,4.46634,-267.338,1.51639,0.342831
2200,0,5.66362,-267.338,0.31911,0.342117
2225,0,5.05333,-267.338,0.9294,0.34097
2250,0,5.80281,-266.917,0.15754,0.339405
2275,0,5.68444,-266.917,0.275908,0.337434
