generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,1,4,1
3000,3,4,1
4000,2,3,1
5000,1,4,1
6000,2,4,1
7000,3,4,1
8000,1,2,1
9000,2,3,1
10000,1,2,1
11000,1,4,1
12000,1,4,1
13000,2,4,1
14000,3,4,1
15000,2,4,1
16000,1,2,1
17000,1,3,1
18000,1,3,1
19000,1,3,1
20000,1,3,1
21000,1,4,1
22000,3,4,1
23000,2,3,1
24000,2,3,1
25000,1,2,1
26000,3,4,1
27000,1,4,1
28000,1,4,1
29000,1,2,1
30000,1,4,0
31000,3,4,1
32000,1,2,1
33000,3,4,1
34000,1,3,1
35000,2,3,1
36000,3,4,1
37000,1,2,1
38000,1,3,1
39000,2,4,1
40000,1,2,1
41000,2,4,1
42000,1,3,1
43000,1,3,1
44000,3,4,1
45000,1,2,1
46000,2,3,1
47000,1,3,1
48000,3,4,1
49000,2,4,1
50000,1,2,1
51000,1,2,1
52000,2,4,1
53000,1,3,1
54000,3,4,1
55000,2,4,1
56000,3,4,1
57000,2,4,1
58000,1,2,1
59000,1,2,1
60000,2,4,1
61000,1,3,1
62000,2,4,1
63000,1,4,1
64000,3,4,1
65000,1,4,1
66000,2,3,1
67000,2,3,1
68000,1,4,1
69000,1,2,1
70000,2,4,1
71000,2,3,1
72000,1,4,0
73000,1,2,1
74000,3,4,1
75000,1,3,1
76000,1,3,1
77000,1,3,1
78000,2,3,1
79000,1,4,0
80000,2,4,1
81000,2,3,1
82000,3,4,1
83000,1,3,1
84000,2,3,1
85000,1,4,1
86000,2,3,1
87000,2,3,1
88000,1,2,1
89000,2,3,1
90000,3,4,1
91000,3,4,1
92000,3,4,1
93000,3,4,1
94000,1,3,1
95000,2,4,1
96000,1,4,0
97000,3,4,1
98000,1,4,1
99000,3,4,1
100000,2,3,1
