generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Balaena_mysticetus,Physeter_catodon,0,0.104709,0,0,0
50,Balaena_mysticetus,Physeter_catodon,0,0.107494,0,0,0
100,Balaena_mysticetus,Physeter_catodon,0,0.0972773,0,0,0
150,Balaena_mysticetus,Physeter_catodon,0,0.109244,0,0,0
200,Balaena_mysticetus,Physeter_catodon,0,0.122087,-0.00265716,0,0
250,Balaena_mysticetus,Physeter_catodon,0,0.0973746,-0.00265716,0,0
300,Balaena_mysticetus,Physeter_catodon,0,0.117737,-0.00265716,0,0
350,Balaena_mysticetus,Physeter_catodon,0,0.0955761,-0.00265716,0,0
400,Balaena_mysticetus,Physeter_catodon,0,0.10071,-0.00265716,0,0
450,Balaena_mysticetus,Physeter_catodon,0,0.10071,0.00895267,0,0
500,Balaena_mysticetus,Physeter_catodon,0,0.102757,0.0106609,0,0
550,Balaena_mysticetus,Physeter_catodon,0,0.0896289,0.0207994,0,0
600,Balaena_mysticetus,Physeter_catodon,0,0.0634168,0.0207994,0,0
600,Eubalaena_australis,Eubalaena_glacialis,30.616,0.446561,0.0377443,0.476186,0
650,Balaena_mysticetus,Physeter_catodon,0,0.0754224,0.0207994,0,0
650,Eubalaena_australis,Eubalaena_glacialis,30.89,0.352675,0.040681,0.320581,0
700,Balaena_mysticetus,Physeter_catodon,0,0.0754224,0.0207994,0,0
700,Eubalaena_australis,Eubalaena_glacialis,31.3513,0.587382,-0.0234984,0.313219,0
750,Balaena_mysticetus,Physeter_catodon,0,0.076955,0.0207994,0,0
750,Eubalaena_australis,Eubalaena_glacialis,32.3367,0.554753,-0.00815813,0.121706,0
800,Balaena_mysticetus,Physeter_catodon,0,0.0753224,0.0207994,0,0
800,Eubalaena_australis,Eubalaena_glacialis,33.3083,0.554753,-0.058999,0.0901029,0
850,Balaena_mysticetus,Physeter_catodon,0,0.0753224,0.0297819,0,0
900,Balaena_mysticetus,Physeter_catodon,0,0.0615799,0.0632578,0,0
950,Balaena_mysticetus,Physeter_catodon,0,0.0652383,0.0552864,0,0
1000,Balaena_mysticetus,Physeter_catodon,0,0.0584523,0.0265555,0,0
1050,Balaena_mysticetus,Physeter_catodon,0,0.0637365,0.0366268,0,0
1100,Balaena_mysticetus,Physeter_catodon,0,0.0593421,0.0363426,0,0
1150,Balaena_mysticetus,Physeter_catodon,0,0.0593421,0.043642,0,0
1200,Balaena_mysticetus,Physeter_catodon,0,0.0579748,0.0458844,0,0
1250,Balaena_mysticetus,Physeter_catodon,0,0.0696835,0.0458844,0,0
1300,Balaena_mysticetus,Physeter_catodon,0,0.0759804,0.0314345,0,0
1350,Balaena_mysticetus,Physeter_catodon,0,0.07205,0.0245599,0,0
1400,Balaena_mysticetus,Physeter_catodon,0,0.07205,0.0245599,0,0
1450,Balaena_mysticetus,Physeter_catodon,0,0.07205,0.0165121,0,0
1450,Lagenodelphis_hosei,Sousa_chinensis,29.0041,0.487392,-0.0092999,0.299485,0
1500,Balaena_mysticetus,Physeter_catodon,0,0.0495487,0.0477727,0,0
1500,Lagenodelphis_hosei,Sousa_chinensis,29.5056,0.538273,-0.00589642,0.153847,0
1550,Balaena_mysticetus,Physeter_catodon,0,0.0717102,0.00773224,0,0
1550,Lagenodelphis_hosei,Sousa_chinensis,29.0086,0.504926,-0.0387046,0.165789,0
1600,Balaena_mysticetus,Physeter_catodon,0,0.0717102,0.0185486,0,0
1600,Lagenodelphis_hosei,Sousa_chinensis,29.7457,0.505308,0.0137174,0.153388,0
1650,Balaena_mysticetus,Physeter_catodon,0,0.0656026,0.00785628,0,0
