generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.65235,-276.809,1,0
50,0,1.01772,-276.816,1.63211,0.24
100,0,2.42162,-276.849,0.22463,0.28
150,0,2.07314,-276.849,0.573109,0.293333
200,0,1.85467,-276.91,0.787901,0.285
250,0,2.5098,-277.266,0.118959,0.312
300,0,1.15492,-277.73,1.44783,0.31
350,0,1.77039,-277.027,0.896929,0.322857
400,0,1.95962,-277.053,0.658415,0.3175
450,0,2.25365,-277.445,0.379243,0.308889
500,0,2.18234,-277.08,0.459245,0.306
550,0,2.49766,-277.14,0.153669,0.28
600,0,2.36366,-277.096,0.276487,0.35
650,0,2.59002,-278.806,0.0061483,0.353333
700,0,1.01809,-276.942,1.59767,0.345
750,0,2.54959,-276.961,0.0497867,0.34
800,0,2.19432,-277.464,0.416254,0.333333
850,0,2.17951,-277.073,0.473283,0.328571
900,0,1.9939,-277.101,0.626103,0.345
950,0,1.26141,-277.611,1.32735,0.346667
1000,0,1.69197,-276.868,0.9261,0.320679
1050,0,1.57585,-276.889,1.04619,0.26
1100,0,0.928213,-276.889,1.69382,0.26
1150,0,2.01539,-277.067,0.597828,0.253333
1200,0,1.75634,-277.067,0.85688,0.245
1250,0,2.48531,-276.928,0.122684,0.272
1300,0,2.2674,-276.878,0.350446,0.273333
1350,0,2.14743,-278.713,0.41898,0.28
1400,0,2.26374,-279.826,0.288298,0.29
1450,0,2.11363,-277.405,0.476539,0.286667
1500,0,1.74946,-278.543,0.819443,0.296
1550,0,2.21865,-276.924,0.404789,0.3
1600,0,2.18787,-276.924,0.435566,0.25
1650,0,2.23032,-278.075,0.420999,0.266667
1700,0,2.56474,-277.584,0.0919467,0.31
1750,0,0.719266,-277.584,1.93742,0.304
1800,0,2.40406,-277.133,0.207291,0.31
1850,0,1.16265,-277.133,1.4487,0.305714
1900,0,2.17857,-277.235,0.470988,0.3075
1950,0,2.06285,-277.278,0.510323,0.308889
2000,0,2.29003,-277.19,0.294415,0.314343
2050,0,2.38661,-276.911,0.215438,0.3
2100,0,2.55614,-276.91,0.0484764,0.33
2150,0,2.51628,-278.666,0.0374422,0.326667
2200,0,2.31522,-277.073,0.273843,0.325
2250,0,1.95825,-278.921,0.619441,0.352
2300,0,2.3739,-277.19,0.258376,0.343333
2350,0,2.58083,-278.632,0.0594065,0.357143
2400,0,2.29419,-277.7,0.386713,0.3625
2450,0,2.47995,-277.247,0.161981,0.357778
2500,0,2.26563,-277.247,0.376297,0.334
2550,0,2.1808,-278.997,0.371157,0.38
2600,0,1.31316,-277.284,0.930861,0.36
2650,0,2.07934,-278.956,0.129587,0.36
2700,0,0.0243916,-277.347,1.41506,0.355
2750,0,-2.08552,-277.282,0.108228,0.344
2800,0,0.342263,-279.858,2.23829,0.333333
2850,0,2.31119,-278.677,0.259179,0.345714
2900,0,1.8705,-277.616,0.717999,0.355
2950,0,2.4311,-277.041,0.131825,0.337778
3000,0,2.57182,-278.666,0.0552903,0.342
3050,0,2.56032,-277.144,0.00667065,0.44
3100,0,2.45371,-277.323,0.121472,0.34
3150,0,2.46961,-276.926,0.127651,0.3
3200,0,-0.871628,-276.965,3.47708,0.32
3250,0,1.92479,-277.175,0.638587,0.344
3300,0,2.49703,-277.175,0.0663498,0.336667
3350,0,2.4583,-277.495,0.123046,0.357143
3400,0,2.44239,-277.129,0.149704,0.34
3450,0,2.24057,-277.07,0.326451,0.337778
3500,0,2.475,-278.244,0.00943171,0.344
3550,0,2.33223,-278.195,0.0754443,0.38
3600,0,1.67126,-277.642,0.816106,0.41
3650,0,2.26063,-277.843,0.176042,0.353333
3700,0,2.42409,-279.431,0.100475,0.33
3750,0,2.01042,-277.411,0.453537,0.34
3800,0,2.42115,-277.895,0.0750251,0.353333
3850,0,0.569764,-277.562,1.87924,0.357143
3900,0,2.05771,-277.989,0.441096,0.365
3950,0,2.30517,-278.536,0.112295,0.357778
4000,0,2.2557,-278.033,0.174808,0.356
4050,0,2.60177,-276.999,0.0258041,0.42
4100,0,2.27711,-276.877,0.339806,0.39
