generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Bra_peitho_gigas,Loh_hypnus,0,0.162361,0,0.005,0
500,Bra_peitho_gigas,Loh_hypnus,0,0.158454,-0.00371345,0.00331896,0
1000,Bra_peitho_gigas,Loh_hypnus,0,0.188868,-0.0101003,0.00369431,0
1500,Bra_peitho_gigas,Loh_hypnus,0,0.26414,-0.0209755,7.31005e-006,0
2000,Bra_peitho_gigas,Loh_hypnus,0,0.158641,-0.000674697,0.00324534,0
2500,Bra_peitho_gigas,Loh_hypnus,0,0.171154,-0.00447061,0.00246765,0
3000,Bra_peitho_gigas,Loh_hypnus,0,0.218766,-0.0154968,0.00519321,0
3000,Myd_pitana,Myd_fusca,12.659,0.277109,-0.0657063,0.129435,0
3500,Bra_peitho_gigas,Loh_hypnus,0,0.297071,-0.029575,0.00971685,0
4000,Bra_peitho_gigas,Loh_hypnus,0,0.308414,-0.0334786,0.0022446,0
4500,Bra_peitho_gigas,Loh_hypnus,0,0.312738,-0.0314249,0.00879251,0
5000,Bra_peitho_gigas,Loh_hypnus,0,0.295084,-0.0273362,0.003251,0
5500,Bra_peitho_gigas,Loh_hypnus,0,0.308929,-0.0307281,0.00899403,0
6000,Bra_peitho_gigas,Loh_hypnus,0,0.391107,-0.0425615,0.0168697,0
6500,Bra_peitho_gigas,Loh_hypnus,0,0.491115,-0.0531547,0.032712,0
7000,Bra_peitho_gigas,Loh_hypnus,0,0.334534,-0.0393511,0.0149347,0
7500,Bra_peitho_gigas,Loh_hypnus,0,0.257996,-0.0228859,0.0029488,0
8000,Bra_peitho_gigas,Loh_hypnus,0,0.363303,-0.0434608,0.0019389,0
8500,Bra_peitho_gigas,Loh_hypnus,0,0.436685,-0.0522957,0.0100616,0
9000,Bra_peitho_gigas,Loh_hypnus,0,0.497497,-0.0558537,0.0185335,0
9500,Bra_peitho_gigas,Loh_hypnus,0,0.48058,-0.0610581,0.0138814,0
10000,Bra_peitho_gigas,Loh_hypnus,0,0.63876,-0.0634884,0.00735071,0
10500,Bra_peitho_gigas,Loh_hypnus,0,0.672047,-0.0613607,0.0583707,0
11000,Bra_peitho_gigas,Loh_hypnus,0,0.654267,-0.063329,0.0352012,0
11500,Bra_peitho_gigas,Loh_hypnus,0,0.752444,-0.0733062,0.0378821,0
12000,Bra_peitho_gigas,Loh_hypnus,0,1.00572,-0.078977,0.0880687,0
12500,Bra_peitho_gigas,Loh_hypnus,0,0.774919,-0.0662878,0.081774,0
13000,Bra_peitho_gigas,Loh_hypnus,0,0.586883,-0.061929,0.0508064,0
13500,Bra_peitho_gigas,Loh_hypnus,0,0.342677,-0.0426932,0.0111367,0
14000,Bra_peitho_gigas,Loh_hypnus,0,0.530914,-0.0607512,0.0107964,0
14500,Bra_peitho_gigas,Loh_hypnus,0,0.54173,-0.0589077,0.0284398,0
15000,Bra_peitho_gigas,Loh_hypnus,0,0.475466,-0.0501263,0.0532712,0
15500,Bra_peitho_gigas,Loh_hypnus,0,0.46177,-0.0512067,0.020788,0
16000,Bra_peitho_gigas,Loh_hypnus,0,0.550427,-0.0508738,0.0544739,0
16500,Bra_peitho_gigas,Loh_hypnus,0,0.38753,-0.0431991,0.00442166,0
17000,Bra_peitho_gigas,Loh_hypnus,0,0.417743,-0.0417024,0.0100153,0
17500,Bra_peitho_gigas,Loh_hypnus,0,0.418866,-0.0431665,0.0148628,0
18000,Bra_peitho_gigas,Loh_hypnus,0,0.280878,-0.0277411,0.00779626,0
18500,Bra_peitho_gigas,Loh_hypnus,0,0.285806,-0.02654,0.0107331,0
19000,Bra_peitho_gigas,Loh_hypnus,0,0.354045,-0.0380826,0.0166173,0
19500,Bra_peitho_gigas,Loh_hypnus,0,0.327775,-0.0331445,0.0252164,0
20000,Bra_peitho_gigas,Loh_hypnus,0,0.341928,-0.0350842,0.00384177,0
20500,Bra_peitho_gigas,Loh_hypnus,0,0.412392,-0.0466875,0.0062441,0
21000,Bra_peitho_gigas,Loh_hypnus,0,0.389959,-0.046306,0.000837525,0
21500,Bra_peitho_gigas,Loh_hypnus,0,0.504742,-0.0528052,0.0205884,0
22000,Bra_peitho_gigas,Loh_hypnus,0,0.413975,-0.044652,0.00922127,0
22500,Bra_peitho_gigas,Loh_hypnus,0,0.322292,-0.0404129,0.00289085,0
23000,Bra_peitho_gigas,Loh_hypnus,0,0.438243,-0.0495751,0.0104231,0
23500,Bra_peitho_gigas,Loh_hypnus,0,0.396821,-0.0423702,0.0319405,0
24000,Bra_peitho_gigas,Loh_hypnus,0,0.343826,-0.0356347,0.0131884,0
24500,Bra_peitho_gigas,Loh_hypnus,0,0.346927,-0.0371535,0.00521605,0
25000,Bra_peitho_gigas,Loh_hypnus,0,0.407996,-0.0456008,0.0050058,0
25500,Bra_peitho_gigas,Loh_hypnus,0,0.371557,-0.0405361,0.00874665,0
26000,Bra_peitho_gigas,Loh_hypnus,0,0.381186,-0.0383352,0.0516055,0
26500,Bra_peitho_gigas,Loh_hypnus,0,0.361784,-0.0378189,0.00292802,0
27000,Bra_peitho_gigas,Loh_hypnus,0,0.4587,-0.0502621,0.0191087,0
27500,Bra_peitho_gigas,Loh_hypnus,0,0.417307,-0.0481418,0.00136007,0
28000,Bra_peitho_gigas,Loh_hypnus,0,0.452551,-0.0529381,0.0112826,0
28500,Bra_peitho_gigas,Loh_hypnus,0,0.475965,-0.0510984,0.0218589,0
