generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.124648,-803.831,1,0
500,0,0.277368,-804.216,0.849643,0.308
1000,0,0.11609,-801.602,0.958097,0.34965
1500,0,0.0901387,-799.206,0.82903,0.32
2000,0,0.246357,-803.673,0.88377,0.328
2500,0,0.000968823,-802.524,1.11244,0.306
3000,1,0.276465,-799.832,0.56594,0.323559
3500,0,-1.23725,-798.417,2.0075,0.35
4000,0,-0.88599,-797.638,1.59261,0.329
4500,0,0.0332931,-798.123,0.694542,0.298
5000,0,0.568133,-798.301,0.241632,0.325735
5500,0,0.200234,-798.202,0.541783,0.29
6000,0,-0.044211,-798.193,0.484028,0.318333
6500,0,-0.696765,-799.645,0.772486,0.326
7000,0,0.386489,-799.665,0.176818,0.307
7500,0,-0.308657,-798.602,1.21078,0.268
8000,0,0.26288,-797.784,0.201811,0.299333
8500,0,0.112124,-798.828,0.0642524,0.296
9000,0,-0.754128,-799.015,0.766479,0.327
9500,0,-0.65397,-802.568,0.540826,0.282
10000,0,-0.820301,-801.073,0.478951,0.311
10500,0,-0.524002,-802.348,0.160983,0.286
11000,0,-0.454538,-801.174,0.0738236,0.301429
11500,0,-0.821351,-802.952,0.00716171,0.29
12000,0,-2.00043,-808.366,0.66706,0.305727
12500,0,-1.83999,-804.578,1.19557,0.242
13000,0,-1.70674,-802.299,1.4214,0.294
13500,0,0.186797,-800.3,0.305597,0.29
14000,0,-0.157795,-799.315,0.00547622,0.2865
14500,0,-0.903073,-799.9,0.77518,0.32
15000,0,-1.1435,-801.541,1.29004,0.317
15500,0,0.0172084,-798.707,0.149933,0.292
16000,0,-0.459377,-801.466,0.509854,0.29325
16500,0,0.35094,-797.366,0.0919814,0.264
17000,0,-1.01122,-798.844,1.44839,0.27
17500,0,0.3827,-798.349,0.0182525,0.338
18000,0,-0.619077,-798.553,1.4333,0.297111
18500,0,0.47133,-798.809,0.350668,0.296
19000,0,0.436797,-798.387,0.128684,0.306
19500,0,0.57575,-799.498,0.0930473,0.3
20000,0,0.0599269,-797.657,0.584158,0.302
20500,0,-0.629546,-797.571,0.969204,0.296
21000,0,-0.684147,-797.514,1.06083,0.2945
21500,0,-0.115341,-798.856,0.198506,0.304
22000,0,0.134611,-797.751,0.245468,0.300333
22500,0,0.0747974,-799.488,0.49277,0.322
23000,0,-0.73375,-797.964,0.975359,0.318
23500,0,-1.75159,-799.501,2.17412,0.25
24000,0,0.357972,-798.148,0.265193,0.302714
24500,0,-0.499923,-797.502,1.10126,0.29
25000,0,-1.01276,-797.448,1.38249,0.298
25500,0,0.50192,-797.647,0.00695513,0.312
26000,0,0.400074,-801.724,0.097298,0.3078
26500,0,0.359902,-797.545,0.216508,0.28
