generation,rank_1,rank_2,swapAccepted
1000,2,4,1
2000,1,2,1
3000,2,4,1
4000,1,3,1
5000,1,4,1
6000,2,3,1
7000,1,2,1
8000,2,4,0
9000,3,4,1
10000,1,2,1
11000,1,4,1
12000,2,3,1
13000,2,3,1
14000,2,3,1
15000,2,4,1
16000,3,4,1
17000,2,3,1
18000,2,4,1
19000,1,3,1
20000,1,3,1
21000,1,2,1
22000,1,3,1
23000,2,4,1
24000,2,4,1
25000,2,3,1
26000,1,2,1
27000,1,3,1
28000,2,4,1
29000,1,2,1
30000,3,4,1
31000,1,4,1
32000,1,3,1
33000,2,4,1
34000,1,4,1
35000,1,3,1
36000,2,3,0
37000,1,4,1
38000,1,4,1
39000,2,4,1
40000,1,3,1
41000,1,3,1
42000,3,4,1
43000,2,3,1
44000,3,4,1
45000,1,2,1
46000,2,4,1
47000,2,3,1
48000,2,3,1
49000,1,4,1
50000,1,3,1
51000,1,4,1
52000,2,4,1
53000,3,4,1
54000,1,4,1
55000,3,4,1
56000,2,3,1
57000,1,2,1
58000,1,2,1
59000,1,2,1
60000,2,4,1
61000,2,4,1
62000,1,2,1
63000,2,3,1
64000,1,2,1
65000,2,3,1
66000,2,4,1
67000,2,4,1
68000,1,4,1
69000,1,4,1
70000,3,4,1
71000,2,4,1
72000,3,4,1
73000,1,4,1
74000,2,3,1
75000,2,3,1
76000,1,3,1
77000,2,3,1
78000,1,3,1
79000,2,3,1
80000,1,3,1
81000,1,4,1
82000,2,4,1
83000,1,3,1
84000,1,2,1
85000,1,3,1
86000,1,4,1
87000,1,4,1
88000,2,4,1
89000,1,4,1
90000,1,2,1
91000,2,4,1
92000,1,2,1
93000,1,2,1
94000,3,4,1
95000,2,3,1
96000,2,4,1
97000,2,4,0
98000,2,4,1
99000,3,4,1
100000,1,4,1
101000,2,3,1
102000,2,4,1
103000,1,2,1
104000,1,4,1
105000,1,3,1
106000,1,4,1
107000,1,4,1
108000,1,4,1
109000,2,3,1
110000,1,4,1
111000,1,2,1
112000,1,2,1
113000,2,3,1
114000,1,3,1
115000,1,2,1
116000,1,4,1
117000,2,4,1
118000,1,4,1
119000,1,2,1
120000,1,3,1
121000,1,3,1
122000,1,4,1
123000,3,4,1
124000,1,2,1
125000,2,3,1
126000,1,2,0
127000,1,3,1
128000,2,3,1
129000,1,2,1
130000,2,4,1
131000,3,4,1
132000,1,2,1
133000,1,2,1
134000,1,3,1
135000,3,4,1
136000,2,4,1
137000,1,2,1
138000,2,3,1
139000,1,4,1
140000,2,4,1
141000,1,2,1
142000,1,4,1
143000,2,3,1
144000,1,2,1
145000,3,4,1
146000,1,3,1
147000,2,4,1
148000,2,3,1
149000,1,4,1
150000,2,4,1
151000,2,3,1
152000,1,3,1
153000,1,3,1
154000,1,4,1
155000,2,3,1
156000,2,3,1
157000,1,2,1
158000,1,2,1
159000,1,2,1
160000,3,4,1
161000,1,2,1
162000,2,4,1
163000,3,4,1
164000,2,4,1
165000,3,4,1
166000,1,3,1
167000,1,2,1
168000,2,3,1
169000,2,3,1
170000,3,4,1
171000,2,3,1
172000,1,4,1
173000,2,3,1
174000,1,2,1
175000,3,4,1
176000,2,3,1
177000,2,3,1
178000,3,4,1
179000,1,4,1
180000,1,4,1
181000,3,4,1
182000,2,4,1
183000,1,2,1
184000,1,2,1
185000,1,4,1
186000,1,2,1
187000,3,4,1
188000,3,4,1
189000,3,4,1
190000,2,4,1
191000,3,4,1
192000,2,3,1
193000,1,4,1
194000,1,2,1
195000,2,4,1
196000,1,4,1
197000,1,4,1
198000,1,2,1
199000,3,4,1
200000,1,3,1
201000,2,4,1
202000,2,3,1
203000,2,3,1
204000,3,4,1
205000,1,2,1
206000,1,4,1
207000,2,4,1
208000,1,3,1
209000,2,3,1
210000,1,3,1
211000,2,4,1
212000,1,4,1
213000,1,3,1
214000,1,2,1
215000,2,3,1
216000,2,3,1
217000,2,4,1
218000,1,2,1
219000,2,3,1
220000,1,4,1
221000,3,4,1
222000,3,4,1
223000,2,3,1
224000,3,4,1
225000,2,4,1
226000,1,2,1
227000,1,4,1
228000,1,4,1
229000,1,2,1
230000,2,4,1
231000,1,4,1
232000,3,4,1
233000,1,3,1
234000,1,3,1
235000,1,2,1
236000,1,4,1
237000,2,3,1
238000,2,4,1
239000,3,4,1
240000,2,4,1
241000,3,4,1
242000,1,4,1
243000,1,2,1
244000,1,4,1
245000,1,4,1
246000,1,2,1
247000,1,4,1
248000,2,3,1
249000,1,4,1
250000,1,3,1
251000,3,4,1
252000,1,2,1
253000,1,4,1
254000,2,4,1
255000,1,4,1
256000,1,2,1
257000,1,3,1
258000,1,4,1
259000,1,4,1
260000,3,4,1
261000,3,4,1
262000,1,2,1
263000,1,4,1
264000,3,4,1
265000,1,4,1
266000,1,4,1
267000,2,4,1
268000,2,4,1
269000,3,4,1
270000,1,4,1
271000,2,3,1
272000,2,3,1
273000,1,2,1
274000,1,2,1
275000,1,4,1
276000,1,3,1
277000,2,4,1
278000,1,2,1
279000,1,3,1
280000,1,2,1
281000,2,4,1
282000,1,2,1
283000,2,3,1
284000,3,4,1
285000,3,4,1
286000,1,3,1
287000,2,4,1
288000,1,2,1
289000,1,2,1
290000,1,2,1
291000,2,4,1
292000,1,4,1
293000,2,3,1
294000,1,2,1
295000,1,4,1
296000,1,2,1
297000,1,2,1
298000,1,2,1
299000,1,2,1
300000,1,2,1
301000,3,4,1
302000,1,4,1
303000,1,3,1
304000,1,4,1
305000,2,3,1
306000,1,3,1
307000,2,4,1
308000,1,2,1
309000,2,4,1
310000,2,3,1
311000,2,3,1
312000,1,4,1
313000,1,4,1
314000,1,4,1
315000,2,4,1
316000,1,3,1
317000,1,4,1
318000,1,2,1
319000,1,3,1
320000,2,3,1
321000,3,4,1
322000,3,4,1
323000,1,2,1
324000,1,4,1
325000,1,2,1
326000,2,3,1
327000,1,2,1
328000,1,4,1
329000,1,4,1
330000,2,3,1
331000,1,3,1
332000,1,2,1
333000,1,2,1
334000,1,2,1
335000,1,3,1
336000,1,3,1
337000,1,2,1
338000,3,4,1
339000,2,3,1
340000,2,3,1
341000,1,4,1
342000,1,2,1
343000,1,2,1
344000,2,4,1
345000,2,3,1
346000,2,4,1
347000,2,4,1
348000,1,2,1
349000,2,3,1
350000,1,2,1
351000,1,4,1
352000,1,4,1
353000,1,2,1
354000,2,3,1
355000,1,4,1
356000,1,4,1
357000,2,3,1
358000,3,4,1
359000,2,3,1
360000,2,4,1
361000,1,3,1
362000,1,4,1
363000,1,3,1
364000,1,2,1
365000,1,2,1
366000,3,4,1
367000,2,3,1
368000,1,2,1
369000,3,4,1
370000,2,4,1
371000,2,3,1
372000,3,4,1
373000,1,3,1
374000,1,2,1
375000,1,3,1
376000,1,4,1
377000,2,4,1
378000,2,3,1
379000,2,4,1
380000,2,3,1
381000,1,4,1
382000,1,4,1
383000,3,4,1
384000,1,3,1
385000,1,4,1
386000,2,3,1
387000,1,4,1
388000,1,2,1
389000,3,4,1
390000,2,4,1
391000,2,4,1
392000,1,4,1
393000,2,3,1
394000,1,4,1
395000,2,3,1
396000,1,4,1
397000,1,2,1
398000,2,3,1
399000,1,4,1
400000,3,4,1
401000,1,4,0
402000,3,4,1
403000,2,3,1
404000,2,3,1
405000,1,2,1
406000,2,3,1
407000,2,4,1
408000,1,4,1
409000,1,3,0
410000,3,4,1
411000,1,3,1
412000,2,4,1
413000,2,3,1
414000,1,2,1
415000,3,4,1
416000,1,2,1
417000,2,4,1
418000,1,2,1
419000,2,4,1
420000,3,4,1
421000,2,4,1
422000,1,4,1
423000,3,4,1
424000,2,4,1
425000,2,3,1
426000,1,4,1
427000,1,4,1
428000,1,3,1
429000,1,2,1
430000,2,4,1
431000,2,3,1
432000,1,2,1
433000,2,4,1
434000,3,4,1
435000,1,4,1
436000,1,2,1
437000,1,2,1
438000,1,4,1
439000,1,4,1
440000,2,4,1
441000,1,3,1
442000,1,3,1
443000,1,2,1
444000,2,4,1
445000,3,4,1
446000,2,3,1
447000,1,3,1
448000,3,4,1
449000,2,4,0
450000,3,4,1
451000,3,4,1
452000,1,4,1
453000,1,2,1
454000,1,2,1
455000,1,3,1
456000,2,3,1
457000,1,3,1
458000,3,4,1
459000,1,3,0
460000,2,4,1
461000,2,3,1
462000,2,3,1
463000,3,4,1
464000,1,2,1
465000,1,3,1
466000,2,4,0
467000,3,4,1
468000,2,4,1
469000,3,4,1
470000,1,2,1
471000,3,4,1
472000,3,4,1
473000,3,4,1
474000,1,4,1
475000,1,2,1
476000,3,4,1
477000,3,4,1
478000,1,2,1
479000,2,4,1
480000,2,3,1
481000,1,3,1
482000,1,4,1
483000,3,4,1
484000,1,4,1
485000,3,4,1
486000,2,4,1
487000,1,4,0
488000,1,4,1
489000,2,4,1
490000,1,3,1
491000,2,4,1
492000,1,3,1
493000,1,4,1
494000,1,4,1
495000,3,4,1
496000,1,2,1
497000,1,3,1
498000,1,2,1
499000,2,4,1
500000,3,4,1
501000,1,4,1
502000,1,2,1
503000,3,4,1
504000,2,4,1
505000,2,3,1
506000,2,3,1
507000,2,4,1
508000,1,3,1
509000,3,4,1
510000,1,3,1
511000,3,4,1
512000,1,2,1
513000,1,2,1
514000,2,4,1
515000,2,4,1
516000,1,3,1
517000,1,3,1
518000,3,4,0
519000,3,4,1
520000,1,3,1
521000,1,3,1
522000,2,3,1
523000,1,4,1
524000,3,4,1
525000,1,2,1
526000,1,4,1
527000,1,3,1
528000,1,3,1
529000,2,4,1
530000,2,4,1
531000,3,4,1
532000,2,4,1
533000,3,4,1
534000,3,4,1
535000,1,3,1
536000,1,3,1
537000,2,3,1
538000,1,4,1
539000,2,3,1
540000,3,4,1
541000,1,4,1
542000,2,4,1
543000,1,2,1
544000,2,4,0
545000,1,4,1
546000,2,3,1
547000,1,4,0
548000,1,2,1
549000,1,2,1
550000,2,3,1
551000,2,3,1
552000,1,2,1
553000,1,4,1
554000,2,4,1
555000,1,3,1
556000,3,4,1
557000,1,4,1
558000,1,2,1
559000,3,4,1
560000,3,4,1
561000,2,3,1
562000,2,3,1
563000,1,3,1
564000,2,4,1
565000,2,3,1
566000,1,4,1
567000,2,4,1
568000,2,4,1
569000,1,2,1
570000,1,2,1
571000,2,3,1
572000,1,3,1
573000,1,4,1
574000,1,4,1
575000,2,4,1
576000,3,4,1
577000,3,4,1
578000,2,4,1
579000,2,4,1
580000,1,4,1
581000,1,4,1
582000,2,3,1
583000,1,4,1
584000,3,4,1
585000,1,4,1
586000,2,4,1
587000,1,4,1
588000,3,4,1
589000,1,4,1
590000,2,4,1
591000,1,4,1
592000,2,4,1
593000,3,4,1
594000,1,3,1
595000,2,4,1
596000,2,4,1
597000,1,2,1
598000,1,4,1
599000,1,2,1
600000,2,3,1
601000,2,4,1
602000,1,3,1
603000,3,4,1
604000,2,3,1
605000,2,3,1
606000,2,4,1
607000,1,4,1
608000,1,2,1
609000,2,4,1
610000,1,2,1
611000,1,2,1
612000,1,3,1
613000,1,3,1
614000,1,3,1
615000,1,2,1
616000,3,4,1
617000,1,4,1
618000,2,4,1
619000,2,3,1
620000,1,2,1
621000,3,4,1
622000,1,2,1
623000,1,3,1
624000,2,3,1
625000,1,4,1
626000,1,3,1
627000,2,3,1
628000,1,2,1
629000,1,2,1
630000,1,2,1
631000,2,3,1
632000,2,4,1
633000,2,3,1
634000,1,4,1
635000,3,4,1
636000,1,3,1
637000,2,3,0
638000,2,4,1
639000,2,3,1
640000,1,3,1
641000,2,4,1
642000,1,4,1
643000,2,4,1
644000,1,4,1
645000,1,3,1
646000,1,2,1
647000,2,3,1
648000,1,4,1
649000,3,4,1
650000,1,2,1
651000,3,4,1
652000,3,4,0
653000,3,4,1
654000,2,3,1
655000,3,4,1
656000,2,4,1
657000,1,3,1
658000,2,4,1
659000,3,4,1
660000,3,4,1
661000,2,3,1
662000,2,3,1
663000,1,4,1
664000,1,3,1
665000,1,4,0
666000,3,4,1
667000,3,4,1
668000,2,4,1
669000,2,3,1
670000,1,2,1
671000,1,2,1
672000,1,3,1
673000,1,4,1
674000,2,4,1
675000,3,4,1
676000,1,3,1
677000,2,3,1
678000,3,4,0
679000,2,4,1
680000,1,3,1
681000,2,4,0
682000,2,4,1
683000,2,3,1
684000,1,3,1
685000,3,4,1
686000,1,2,1
687000,2,4,1
688000,3,4,1
689000,2,3,1
690000,1,4,1
691000,1,2,1
692000,1,2,1
693000,1,2,1
694000,1,3,1
695000,2,4,1
696000,2,4,1
697000,2,3,1
698000,2,3,1
699000,3,4,1
700000,2,4,1
701000,1,2,1
702000,1,3,1
703000,2,3,1
704000,2,3,1
705000,2,4,1
706000,1,2,1
707000,2,3,1
708000,2,4,1
709000,1,4,1
710000,2,4,1
711000,1,4,1
712000,1,4,1
713000,1,2,1
714000,3,4,1
715000,2,3,1
716000,1,4,1
717000,1,3,1
718000,1,2,1
719000,1,2,1
720000,1,2,1
721000,1,4,1
722000,1,4,1
723000,3,4,1
724000,2,3,1
725000,1,4,1
726000,3,4,1
727000,2,4,1
728000,1,2,1
729000,1,4,1
730000,1,3,1
731000,3,4,1
732000,1,4,1
733000,1,3,1
734000,1,4,1
735000,1,3,1
736000,1,3,1
737000,1,2,1
738000,1,3,1
739000,2,4,1
740000,2,4,1
741000,2,4,1
742000,2,4,1
743000,1,2,1
744000,2,3,1
745000,1,3,1
746000,1,4,1
747000,3,4,1
748000,1,3,1
749000,3,4,1
750000,2,4,1
751000,1,4,1
752000,2,3,1
753000,2,3,1
754000,1,4,1
755000,3,4,1
756000,3,4,1
757000,1,3,1
758000,1,4,1
759000,1,2,1
760000,2,4,1
761000,2,3,1
762000,3,4,1
763000,1,4,1
764000,2,3,1
765000,3,4,1
766000,1,4,1
767000,2,4,1
768000,1,4,1
769000,1,2,1
770000,1,4,1
771000,1,2,1
772000,2,3,1
773000,1,2,1
774000,2,3,1
775000,1,3,1
776000,3,4,1
777000,2,4,1
778000,3,4,1
779000,2,3,1
780000,2,3,1
781000,3,4,1
782000,1,4,1
783000,2,4,1
784000,3,4,1
785000,1,4,1
786000,1,4,1
787000,2,4,1
788000,1,3,1
789000,1,4,1
790000,1,2,1
791000,1,4,1
792000,2,4,1
793000,1,2,1
794000,1,3,1
795000,1,4,1
796000,2,3,1
797000,2,3,1
798000,1,3,1
799000,1,3,1
800000,2,4,1
801000,1,3,1
802000,1,3,1
803000,1,4,1
804000,1,2,1
805000,2,4,1
806000,1,4,1
807000,1,3,1
808000,1,3,1
809000,1,4,1
810000,1,4,1
811000,3,4,1
812000,1,3,1
813000,2,3,1
814000,3,4,1
815000,2,3,1
816000,3,4,1
817000,1,4,1
818000,1,3,1
819000,2,3,1
820000,1,3,1
821000,2,4,1
822000,1,4,1
823000,3,4,1
824000,2,4,1
825000,1,3,1
826000,2,4,1
827000,3,4,1
828000,1,3,1
829000,3,4,1
830000,1,4,1
831000,2,4,1
832000,3,4,1
833000,2,4,1
834000,2,3,1
835000,2,3,1
836000,3,4,1
837000,2,4,1
838000,1,4,1
839000,1,4,1
840000,2,4,1
841000,1,4,1
842000,3,4,1
843000,1,2,1
844000,1,3,1
845000,1,4,1
846000,2,3,1
847000,2,4,1
848000,3,4,1
849000,1,2,1
850000,1,2,1
851000,2,3,1
852000,3,4,1
853000,2,4,1
854000,3,4,1
855000,2,3,1
856000,3,4,1
857000,2,3,1
858000,3,4,1
859000,1,3,1
860000,1,2,1
861000,1,2,1
862000,2,3,1
863000,1,3,1
864000,1,2,1
865000,2,3,1
866000,1,2,1
867000,3,4,1
868000,1,4,1
869000,1,3,1
870000,1,4,1
871000,2,4,1
872000,2,4,1
873000,1,4,1
874000,2,3,1
875000,2,3,1
876000,1,3,1
877000,3,4,1
878000,2,4,1
879000,1,3,1
880000,3,4,1
881000,2,3,1
882000,1,3,1
883000,1,2,1
884000,1,4,1
885000,1,3,1
886000,1,2,1
887000,3,4,1
888000,2,4,1
889000,1,4,1
890000,1,4,1
891000,1,3,1
892000,1,4,1
893000,1,4,1
894000,2,4,1
895000,1,3,1
