generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Moringua_edwardsi,Elops_saurus,0,0.0297364,0,0.005,0
500,Moringua_edwardsi,Elops_saurus,0,0.0290363,-0.00339885,0.000142663,0
1000,Moringua_edwardsi,Elops_saurus,0,0.0259945,-0.000328152,0.000163926,0
1500,Moringua_edwardsi,Elops_saurus,0,0.0352685,-0.000801467,0.00602158,0
2000,Moringua_edwardsi,Elops_saurus,0,0.038678,-0.00335344,0.00239768,0
2500,Moringua_edwardsi,Elops_saurus,0,0.0657748,-0.0070287,0.00741434,0
3000,Moringua_edwardsi,Elops_saurus,0,0.0623129,-0.0097784,0.00163884,0
3500,Moringua_edwardsi,Elops_saurus,0,0.0721126,-0.0097784,9.84161e-005,0
4000,Moringua_edwardsi,Elops_saurus,0,0.105204,-0.011959,0.0163054,0
4500,Moringua_edwardsi,Elops_saurus,0,0.0743072,-0.0104703,0.0180883,0
5000,Moringua_edwardsi,Elops_saurus,0,0.10567,-0.0155231,0.0034235,0
5500,Moringua_edwardsi,Elops_saurus,0,0.127983,-0.0155231,0.018918,0
6000,Moringua_edwardsi,Elops_saurus,0,0.122688,-0.0136536,0.0246804,0
6500,Moringua_edwardsi,Elops_saurus,0,0.138669,-0.0200926,0.0178215,0
7000,Moringua_edwardsi,Elops_saurus,0,0.0775471,-0.0136696,0.00839433,0
7500,Moringua_edwardsi,Elops_saurus,0,0.094876,-0.0136696,0.00134793,0
8000,Moringua_edwardsi,Elops_saurus,0,0.0710395,-0.00932678,0.0102603,0
8500,Moringua_edwardsi,Elops_saurus,0,0.0360114,-0.00384446,0.00107562,0
9000,Moringua_edwardsi,Elops_saurus,0,0.0586979,-0.00649222,0.0057457,0
9500,Moringua_edwardsi,Elops_saurus,0,0.060492,-0.00808219,0.00615767,0
10000,Moringua_edwardsi,Elops_saurus,0,0.110275,-0.0173472,0.0109791,0
10500,Moringua_edwardsi,Elops_saurus,0,0.0958143,-0.0183305,0.00141806,0
11000,Moringua_edwardsi,Elops_saurus,0,0.0699979,-0.00986901,0.00889562,0
11500,Moringua_edwardsi,Elops_saurus,0,0.0614323,-0.0108039,0.00460225,0
12000,Moringua_edwardsi,Elops_saurus,0,0.0844174,-0.0124432,0.00567266,0
12500,Moringua_edwardsi,Elops_saurus,0,0.118085,-0.0208049,0.000404483,0
13000,Moringua_edwardsi,Elops_saurus,0,0.0706759,-0.0134024,0.00382899,0
13500,Moringua_edwardsi,Elops_saurus,0,0.0978055,-0.0123365,0.0242734,0
