generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.92853,-267.474,1,0
500,0,5.26563,-267.516,0.652386,0.294
1000,0,5.43304,-267.059,0.544783,0.317
1500,0,4.43264,-267.147,1.45555,0.298
2000,0,5.42028,-265.78,0.429951,0.309845
2500,0,5.00314,-266.444,0.519972,0.344
3000,0,4.57558,-264.598,0.830183,0.328
3500,0,4.98888,-265.495,0.369038,0.308
4000,0,4.54146,-266.666,0.35561,0.309923
4500,0,4.63716,-266.59,0.55202,0.294
5000,0,4.44295,-265.277,0.163917,0.317
5500,0,4.01287,-266.105,0.37496,0.304
6000,0,3.89594,-266.67,0.690847,0.307
6500,0,3.41216,-267.017,0.318425,0.284
7000,0,3.73025,-265.645,1.21079,0.3255
7500,0,4.74546,-265.451,0.136004,0.3
8000,0,4.78518,-265.456,0.551981,0.307
8500,0,5.83813,-265.808,0.0221417,0.29
9000,0,5.44304,-265.868,0.157553,0.306
9500,0,5.26287,-265.209,0.239275,0.338
10000,0,3.87163,-265.655,0.443109,0.30175
10500,0,3.79283,-265.742,0.531365,0.314
11000,0,4.86055,-265.207,0.452072,0.311608
11500,0,4.97906,-265.222,0.336602,0.288
12000,0,2.92665,-264.92,2.10875,0.322
12500,0,3.6476,-266.026,0.195418,0.314
13000,0,4.96716,-265.337,0.0668778,0.32
13500,0,4.7252,-266.634,0.134661,0.294
14000,0,5.2607,-265.614,0.027685,0.308
14500,0,5.59316,-265.534,0.242067,0.34
15000,0,5.42476,-265.654,0.386955,0.33
15500,0,3.27812,-264.91,2.33504,0.31
16000,0,5.30163,-269.159,0.522696,0.321
16500,0,4.45209,-264.703,1.00339,0.322
17000,0,4.55445,-269.317,0.0119992,0.33
17500,0,4.04907,-265.651,0.0986656,0.294
18000,0,4.59336,-265.611,0.579706,0.307
18500,0,4.11009,-265.563,0.264862,0.354
19000,0,3.87028,-267.068,0.203686,0.319667
19500,0,3.20966,-267.012,0.493682,0.27
20000,0,4.12418,-264.936,0.939596,0.319
20500,0,5.05945,-265.887,0.133895,0.35
21000,0,3.88375,-265.334,0.785791,0.322417
21500,0,4.38295,-264.501,0.834215,0.328
22000,0,5.17591,-265.033,0.0735186,0.300333
22500,0,4.68153,-267.82,0.464192,0.324
23000,0,4.02907,-265.88,0.887216,0.302
23500,0,3.59437,-266.068,0.45534,0.338
24000,0,4.38356,-266.046,0.354245,0.331
24500,0,4.40598,-267.348,0.0519847,0.304
25000,0,4.48836,-265.301,0.0511298,0.292
25500,0,1.67581,-268.685,1.02807,0.266
26000,0,4.13091,-265.378,0.279623,0.2956
26500,0,1.01393,-266.076,3.44592,0.328
27000,0,4.46571,-265.58,0.237568,0.329714
27500,0,4.20859,-267.705,0.704414,0.272
28000,0,3.47849,-265.919,1.0128,0.301
28500,0,4.38632,-265.25,0.143755,0.298
29000,0,3.90344,-265.91,0.112785,0.31388
29500,0,3.64523,-265.923,0.360092,0.256
30000,0,5.44164,-265.193,0.274407,0.293
30500,0,5.59693,-265.718,0.112345,0.334
31000,0,3.54677,-265.239,1.04069,0.313
31500,0,4.92814,-266.057,0.292153,0.306
32000,0,5.44663,-265.482,0.332158,0.311
32500,0,5.04297,-268.764,0.529788,0.31
33000,0,5.58464,-267.021,0.179276,0.317
33500,0,4.6995,-266.776,0.901506,0.3
34000,0,4.03033,-266.493,0.161119,0.319333
34500,0,3.65635,-266.086,0.607551,0.26
35000,0,5.20685,-266.259,0.103552,0.3
35500,0,4.94459,-264.776,0.471396,0.268
36000,0,5.10144,-264.616,0.271609,0.296
36500,0,4.40363,-267.778,0.473091,0.3
37000,0,5.1414,-264.828,0.387584,0.30525
37500,0,5.14815,-267.633,0.412142,0.286
38000,0,2.7309,-265.966,1.63615,0.287
38500,0,4.83358,-268.278,0.0794791,0.408
39000,0,4.3119,-266.492,0.163947,0.342
39500,0,4.40949,-267.517,0.269442,0.278
40000,0,4.4492,-269.458,1.22646,0.306
40500,0,5.23692,-265.636,0.172084,0.228
41000,0,4.5041,-266.061,0.478718,0.2865
41500,0,4.70391,-265.768,0.0987703,0.314
42000,0,3.61016,-265.629,1.25275,0.331
42500,0,3.71944,-265.446,0.556635,0.262
43000,0,3.04548,-266.312,1.19559,0.292
43500,0,3.11519,-266.767,0.510959,0.304
44000,0,3.77558,-266.98,0.210364,0.288
44500,0,3.37581,-267.668,0.12183,0.296
45000,0,4.67148,-265.309,0.0891192,0.307667
45500,0,4.26461,-266.366,0.456437,0.326
46000,0,4.95258,-265.674,0.0345148,0.3
46500,0,4.38875,-266.125,0.544433,0.31
47000,0,4.4456,-264.955,0.303059,0.294
47500,0,4.67094,-264.699,0.504847,0.308
48000,0,5.62943,-265.471,0.123475,0.306
48500,0,4.50602,-266.48,1.20363,0.32
49000,0,4.97854,-267.213,0.0217254,0.3002
49500,0,5.41604,-265.789,0.0370612,0.286
50000,0,5.06632,-264.924,0.367317,0.3028
50500,0,4.17731,-264.479,1.05582,0.354
51000,0,4.31451,-266.426,0.628136,0.309
51500,0,5.3302,-264.831,0.0225507,0.312
52000,0,3.99331,-266.397,0.458236,0.318
52500,0,4.78279,-265.891,0.467589,0.334
53000,0,3.34822,-266.874,0.175617,0.337
53500,0,3.05555,-266.239,0.566274,0.288
54000,0,3.32685,-268.305,2.53533,0.3228
54500,0,5.82117,-267.723,0.0902284,0.31
55000,0,5.65181,-266.835,0.142056,0.305
55500,0,3.87703,-266.507,1.53603,0.326
56000,0,5.32268,-269.099,0.0383601,0.286
56500,0,4.17955,-266.708,0.0959155,0.304
57000,0,3.90972,-267.854,0.25662,0.27925
