generation,rank_1,rank_2,swapAccepted
1000,2,4,1
2000,2,4,1
3000,2,4,1
4000,1,4,1
5000,1,3,1
6000,1,2,1
7000,3,4,1
8000,1,3,1
9000,2,3,1
10000,2,4,1
11000,2,3,1
12000,2,3,1
13000,2,4,1
14000,1,4,1
15000,1,4,1
16000,1,3,1
17000,1,3,1
18000,1,2,1
19000,2,3,1
20000,3,4,1
21000,2,3,1
22000,1,4,1
23000,1,4,1
24000,2,3,1
25000,3,4,1
26000,1,3,1
27000,1,2,1
28000,2,3,1
29000,1,3,1
30000,2,3,1
31000,1,3,1
32000,3,4,1
33000,3,4,1
34000,3,4,1
35000,1,4,1
36000,1,2,1
37000,3,4,1
38000,2,3,1
39000,1,3,1
40000,1,3,1
41000,1,3,1
42000,2,4,1
43000,2,3,1
44000,2,4,1
45000,2,4,0
46000,2,3,1
47000,2,3,1
48000,2,3,1
49000,2,4,1
50000,1,3,1
51000,1,2,1
52000,2,3,1
53000,2,4,1
54000,2,3,1
55000,2,4,1
56000,2,3,1
57000,1,4,1
58000,3,4,1
59000,2,4,1
60000,2,3,1
61000,1,2,1
62000,3,4,1
63000,1,3,1
64000,1,4,0
65000,2,4,1
66000,1,4,1
67000,1,3,1
68000,2,3,1
69000,3,4,1
70000,1,2,1
71000,1,2,1
72000,3,4,1
73000,2,4,1
74000,3,4,1
75000,2,3,1
76000,1,2,1
77000,1,4,1
78000,1,3,1
79000,1,3,1
80000,1,2,1
81000,1,4,1
82000,2,4,1
83000,1,2,1
84000,1,4,1
85000,2,3,1
86000,1,4,1
87000,1,4,1
88000,1,4,1
89000,1,3,1
90000,2,3,1
91000,2,4,1
92000,3,4,1
93000,1,4,1
94000,2,4,1
95000,2,3,1
96000,3,4,1
97000,2,4,1
98000,1,2,1
99000,2,4,1
100000,1,2,1
101000,3,4,1
102000,3,4,0
103000,1,2,1
104000,2,4,1
105000,2,4,1
106000,2,3,1
107000,1,2,1
108000,2,4,1
109000,1,4,1
110000,2,3,1
111000,1,2,1
112000,3,4,1
113000,1,2,1
114000,3,4,1
115000,2,3,0
116000,2,4,1
117000,3,4,1
118000,1,3,1
119000,2,4,1
120000,2,3,1
121000,1,3,1
122000,2,3,1
123000,1,4,1
124000,2,4,1
125000,1,2,1
126000,1,4,1
127000,3,4,1
128000,2,3,1
129000,2,3,1
130000,1,4,1
131000,2,3,1
132000,3,4,1
133000,2,3,1
134000,1,3,1
135000,1,3,1
136000,3,4,1
137000,1,4,1
138000,2,4,1
139000,1,2,1
140000,3,4,1
141000,2,4,1
142000,1,2,1
143000,3,4,1
144000,1,3,1
145000,1,2,1
146000,3,4,1
147000,1,2,1
148000,1,3,1
149000,2,3,1
150000,3,4,1
151000,1,2,1
152000,1,2,1
153000,1,3,1
154000,2,4,1
155000,1,4,1
156000,1,2,1
157000,1,2,1
158000,1,4,1
159000,2,3,0
160000,2,3,1
161000,1,4,0
162000,2,4,1
163000,1,3,1
164000,1,3,1
165000,2,4,0
166000,1,4,1
167000,2,3,1
168000,2,3,1
169000,2,4,1
170000,2,4,1
171000,1,3,1
172000,3,4,1
173000,1,3,1
174000,3,4,1
175000,2,3,1
176000,1,3,1
177000,2,4,1
178000,2,4,1
179000,1,4,1
180000,3,4,1
181000,1,4,1
182000,1,3,1
183000,3,4,1
184000,3,4,1
185000,1,2,1
186000,1,4,1
187000,1,2,1
188000,1,3,1
189000,1,2,1
190000,2,4,1
191000,1,2,1
192000,1,2,1
193000,1,2,1
194000,2,3,1
195000,1,4,1
196000,3,4,1
197000,1,2,1
198000,1,3,1
199000,1,4,1
200000,1,4,1
201000,1,4,1
202000,2,3,1
203000,1,3,1
204000,1,3,1
205000,2,3,1
206000,2,4,1
207000,1,4,1
208000,3,4,1
209000,2,4,1
210000,1,2,1
211000,3,4,1
212000,2,4,1
213000,2,3,1
214000,2,3,1
215000,3,4,1
216000,1,2,1
217000,3,4,1
218000,2,3,1
219000,1,3,1
220000,2,3,1
221000,1,2,1
222000,2,4,1
223000,2,3,1
224000,1,4,0
225000,1,4,1
226000,3,4,1
227000,3,4,1
228000,3,4,1
229000,1,4,1
230000,2,3,1
231000,1,2,1
232000,1,2,0
233000,3,4,1
