generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Balaena_mysticetus,Physeter_catodon,0,0.104709,0,0.005,0
500,Balaena_mysticetus,Physeter_catodon,0,0.128045,0.00954976,0.0563519,0
1000,Balaena_mysticetus,Physeter_catodon,0,0.0609335,0.0236974,0.013981,0
1500,Balaena_mysticetus,Physeter_catodon,0,0.0999535,0.00485305,0.0413059,0
2000,Balaena_mysticetus,Physeter_catodon,0,0.0717646,0.0202441,0.0120092,0
2500,Balaena_mysticetus,Physeter_catodon,0,0.0679388,0.0540246,0.00253846,0
3000,Balaena_mysticetus,Physeter_catodon,0,0.0751502,0.0394511,0.022534,0
3500,Balaena_mysticetus,Physeter_catodon,0,0.158911,-0.0105126,0.0413513,0
4000,Balaena_mysticetus,Physeter_catodon,0,0.142186,-0.00359742,0.00197692,0
4500,Balaena_mysticetus,Physeter_catodon,0,0.137222,-0.0208048,0.00331622,0
4500,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.3271,0.173997,0.0351263,0.0576408,0
5000,Balaena_mysticetus,Physeter_catodon,0,0.140214,-0.022977,0.015362,0
5000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.0718,0.212778,-0.00362162,0.0032365,0
5500,Balaena_mysticetus,Physeter_catodon,0,0.113697,-0.0139101,0.0112401,0
5500,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.4361,0.427066,-0.0718072,0.0633805,0
6000,Balaena_mysticetus,Physeter_catodon,0,0.155627,-0.0187242,0.0163201,0
6000,Orcinus_orca,Orcaella_brevirostris,24.5061,0.33096,-0.0327214,0.0599659,0
6500,Balaena_mysticetus,Physeter_catodon,0,0.13083,-0.0297478,0.00607639,0
6500,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.0068,0.321214,-0.0110584,0.0864898,0
7000,Balaena_mysticetus,Physeter_catodon,0,0.157033,-0.0192399,0.00445483,0
7000,Platanista_gangetica,Platanista_minor,16.8498,0.43134,-0.060477,0.283741,0
7000,Orcinus_orca,Orcaella_brevirostris,23.0266,0.221934,0.000128699,0.00723044,0
7500,Balaena_mysticetus,Physeter_catodon,0,0.316337,-0.0355412,0.0806327,0
7500,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.1777,0.349571,-0.0294631,0.0197163,0
8000,Balaena_mysticetus,Physeter_catodon,0,0.177217,-0.0174774,0.0541005,0
8000,Orcinus_orca,Orcaella_brevirostris,24.7093,0.36267,-0.0320039,0.0311842,0
8500,Balaena_mysticetus,Physeter_catodon,0,0.1307,-0.0169135,0.0218018,0
8500,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.0487,0.217894,-0.0239751,0.0365565,0
9000,Balaena_mysticetus,Physeter_catodon,0,0.141385,-0.0176427,0.00892393,0
9000,Orcinus_orca,Orcaella_brevirostris,24.2451,0.516012,-0.0696481,0.0487909,0
9500,Balaena_mysticetus,Physeter_catodon,0,0.137366,-0.0204305,0.0172777,0
9500,Orcinus_orca,Orcaella_brevirostris,22.4971,0.461115,-0.0413041,0.148982,0
10000,Balaena_mysticetus,Physeter_catodon,0,0.189391,-0.0276381,0.0403623,0
10000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.7217,0.489746,-0.0745659,0.0311756,0
10500,Balaena_mysticetus,Physeter_catodon,0,0.223969,-0.036225,0.0248278,0
10500,Orcinus_orca,Orcaella_brevirostris,23.9857,0.627093,-0.0849099,0.183267,0
11000,Balaena_mysticetus,Physeter_catodon,0,0.179753,-0.0354656,0.00837128,0
11000,Eubalaena_australis,Eubalaena_glacialis,31.8059,0.572944,-0.0232433,0.0799997,0
11000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.4987,0.339961,-0.0965178,0.00331792,0
11500,Balaena_mysticetus,Physeter_catodon,0,0.214091,-0.0309477,0.0455805,0
11500,Orcinus_orca,Orcaella_brevirostris,22.4514,0.293834,-0.0370539,0.0152788,0
12000,Balaena_mysticetus,Physeter_catodon,0,0.159183,-0.0376598,0.0047133,0
12000,Orcinus_orca,Orcaella_brevirostris,20.5788,0.19993,0.046168,0.00688014,0
12500,Balaena_mysticetus,Physeter_catodon,0,0.206089,-0.0303512,0.0140526,0
12500,Orcinus_orca,Orcaella_brevirostris,22.6507,0.428742,-0.0705434,0.0262569,0
13000,Balaena_mysticetus,Physeter_catodon,0,0.123714,-0.0174571,0.0022383,0
13000,Orcinus_orca,Orcaella_brevirostris,20.9141,0.380866,-0.0421273,0.0160472,0
13500,Balaena_mysticetus,Physeter_catodon,0,0.106986,-0.0100579,0.037873,0
13500,Orcinus_orca,Orcaella_brevirostris,21.336,0.430343,-0.0743749,0.0159977,0
14000,Balaena_mysticetus,Physeter_catodon,0,0.0985572,-0.00780249,0.00933846,0
14000,Orcinus_orca,Delphinapterus_leucas,16.1388,0.133973,0.0680275,0.0306722,0
14500,Balaena_mysticetus,Physeter_catodon,0,0.106447,-0.00133766,0.0300653,0
14500,Orcinus_orca,Orcaella_brevirostris,19.828,0.29244,-0.0227089,0.0332889,0
15000,Balaena_mysticetus,Physeter_catodon,0,0.089613,0.00470956,0.0102245,0
15000,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.4718,0.224278,-0.0169472,0.00742251,0
15500,Balaena_mysticetus,Physeter_catodon,0,0.112127,-0.0143207,0.0102154,0
15500,Orcinus_orca,Orcaella_brevirostris,23.7039,0.525109,-0.0957107,0.0184542,0
16000,Balaena_mysticetus,Physeter_catodon,0,0.192169,-0.0341093,0.00733407,0
16000,Orcinus_orca,Orcaella_brevirostris,22.3711,0.454209,-0.0456693,0.126362,0
16500,Balaena_mysticetus,Physeter_catodon,0,0.2163,-0.0341093,0.0376764,0
16500,Orcinus_orca,Orcaella_brevirostris,22.9336,0.39624,-0.0441531,0.0385727,0
17000,Balaena_mysticetus,Physeter_catodon,0,0.214045,-0.0287047,0.0207918,0
17000,Orcinus_orca,Orcaella_brevirostris,22.1385,0.629017,-0.077008,0.0279215,0
17500,Balaena_mysticetus,Physeter_catodon,0,0.184278,-0.0335481,0.045096,0
17500,Orcinus_orca,Orcaella_brevirostris,24.8716,0.331478,-0.0288041,8.55447e-005,0
18000,Balaena_mysticetus,Physeter_catodon,0,0.214541,-0.0493845,0.00221708,0
18000,Orcinus_orca,Delphinapterus_leucas,17.0529,0.364314,-0.0295424,0.0130957,0
18500,Balaena_mysticetus,Physeter_catodon,0,0.192856,-0.0337532,0.0535487,0
18500,Orcinus_orca,Delphinapterus_leucas,16.5021,0.280072,-0.0227891,0.146127,0
