generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.64296,-276.884,1,0
500,0,2.00859,-280.275,0.450939,0.332
1000,0,2.40394,-279.703,0.0385222,0.311
1500,0,0.893008,-278.713,1.67955,0.33
2000,0,2.47011,-277.761,0.0275523,0.345
2500,0,0.918328,-277.784,0.416661,0.336
3000,0,0.898197,-278.118,1.03057,0.345
3500,0,1.24499,-277.394,1.17561,0.326
4000,0,2.24322,-278.719,0.328911,0.31917
4500,1,3.5806,-267.589,0.629461,0.394
5000,1,3.82871,-265.456,0.915306,0.35233
5500,1,1.29683,-264.059,0.713,0.472
6000,1,3.25465,-266.246,0.713467,0.361606
6500,1,2.74299,-267.302,1.45544,0.462
7000,2,4.05177,-265.314,0.512065,0.474
7500,1,2.6612,-267.868,0.588888,0.506
8000,1,3.43757,-268.103,0.45691,0.4354
8500,1,3.87828,-267.079,0.647944,0.448
9000,1,1.19187,-265.203,0.719498,0.452
9500,1,2.75013,-267.17,0.506515,0.438
10000,1,0.645631,-264.825,0.648973,0.454
10500,1,-1.08346,-266.046,0.758263,0.432
11000,2,-0.156534,-261.945,1.21831,0.457
11500,1,3.18122,-266.65,0.345273,0.478
12000,1,1.43341,-268.813,1.88801,0.474
12500,1,1.08014,-265.419,0.558148,0.422
13000,1,2.95167,-265.113,0.780016,0.462
13500,1,-0.713424,-268.301,2.6347,0.494
14000,1,0.756003,-267.868,2.21064,0.4722
14500,1,2.22173,-269.255,2.36321,0.462
15000,1,3.82901,-268.002,1.0999,0.4725
15500,1,-1.46021,-264.066,1.47412,0.504
16000,1,-1.101,-266.345,3.79596,0.466182
16500,1,1.72811,-266.225,1.20275,0.452
17000,1,0.0971476,-267.095,0.72881,0.472
17500,1,2.39217,-267.705,1.32686,0.478
18000,1,1.47334,-266.704,1.54118,0.471
18500,1,1.71931,-272.385,1.93039,0.484
19000,1,1.32973,-273.042,1.13654,0.466
19500,1,2.71348,-270.107,0.987094,0.418
20000,1,2.33413,-272.86,1.23996,0.437
20500,1,2.97181,-267.527,0.887263,0.494
21000,1,3.88706,-266.067,0.259071,0.484
21500,1,3.77567,-268.377,0.879859,0.464
22000,1,3.66689,-268.863,0.909015,0.4728
22500,1,3.98794,-270.72,0.701584,0.472
23000,1,3.93145,-272.673,0.452549,0.4705
23500,1,3.59209,-268.851,0.530535,0.468
24000,1,1.2978,-268.985,0.866297,0.464
24500,1,1.94001,-270.202,0.50176,0.474
25000,1,2.96651,-269.096,0.59451,0.483
25500,1,3.32732,-267.866,0.111998,0.45
26000,1,3.2044,-268.762,1.31122,0.47125
26500,1,1.6742,-268.344,1.10299,0.498
27000,1,2.75276,-268.838,0.389123,0.473364
27500,1,3.1493,-268.228,0.919745,0.494
28000,1,2.92464,-269.157,0.592223,0.481
28500,1,3.00952,-269.028,0.609087,0.484
29000,1,2.97013,-268.354,0.927609,0.484667
29500,1,2.11139,-270.377,0.396706,0.466
30000,1,2.94497,-266.438,1.60145,0.479
30500,1,3.27542,-267.93,0.542529,0.53
31000,1,0.978965,-265.041,1.00335,0.474167
31500,1,4.30818,-266.403,0.173245,0.536
32000,1,1.28865,-266.803,2.50768,0.49
32500,2,2.02669,-269.002,2.20841,0.496
33000,1,0.00432626,-266.127,3.9063,0.476
33500,1,3.97536,-266.638,0.979775,0.472
34000,1,3.83515,-267.328,0.8325,0.472
34500,1,3.25342,-268.874,0.65289,0.478
35000,1,-0.470546,-267.01,4.66068,0.4748
35500,1,3.01632,-266.136,1.74151,0.484
36000,1,4.39609,-267.815,0.192055,0.488125
36500,1,3.29552,-266.504,1.26931,0.492
37000,1,2.95568,-266.945,1.82094,0.478
37500,1,3.99839,-267.504,0.87748,0.486
38000,1,2.04821,-268.706,2.1527,0.487
38500,1,2.58178,-273.352,1.36366,0.46
39000,1,1.44054,-267.327,1.05701,0.47525
39500,1,3.18667,-266.596,0.188681,0.494
40000,1,2.33193,-267.472,1.95434,0.481
40500,2,3.05697,-266.898,0.807561,0.494
41000,1,4.48021,-266.477,0.103313,0.4755
41500,2,1.83223,-264.951,1.37669,0.492
42000,1,3.44265,-269.836,0.771366,0.51
42500,1,1.80094,-269.181,2.50396,0.49
43000,1,3.16486,-268.87,1.13068,0.49
43500,1,3.07956,-266.792,1.46579,0.502
44000,1,2.35931,-272.993,1.24084,0.42
44500,1,2.51975,-266.929,1.90736,0.458
45000,1,3.27961,-266.345,1.24931,0.474
45500,1,1.67141,-269.488,0.525069,0.49
46000,1,-0.761482,-269.114,3.94052,0.482
46500,1,3.78877,-267.521,0.312746,0.528
47000,1,3.66451,-266.618,0.942097,0.513
47500,2,4.43254,-266.303,1.65495,0.476
48000,1,1.4148,-270.939,1.62417,0.493
48500,1,1.22411,-270.747,0.357286,0.438
49000,1,1.64474,-271.713,0.404368,0.435
49500,1,1.90691,-271.085,0.742471,0.408
50000,1,1.41705,-266.707,1.11113,0.472
50500,1,1.23448,-271.558,0.716527,0.476
51000,1,-0.653506,-267.287,1.30354,0.472818
51500,1,3.35838,-269.049,0.388657,0.478
52000,1,3.31504,-268.112,0.313658,0.497
52500,1,2.04213,-267.548,0.767554,0.482
53000,1,0.764737,-265.194,0.534211,0.472
53500,2,5.28723,-269.745,0.738552,0.482
54000,1,3.57382,-268.274,0.28741,0.478
54500,1,3.90598,-266.201,0.742887,0.484
55000,1,2.19955,-268.644,1.14154,0.484
55500,1,2.23085,-269.654,2.07275,0.472
56000,1,0.862829,-266.472,0.783896,0.468
56500,2,4.0099,-265.473,1.34784,0.5
57000,1,2.08795,-268.153,1.23829,0.473714
57500,1,3.40502,-268.29,0.12221,0.482
58000,1,3.50285,-265.955,0.464522,0.494
58500,1,3.98718,-269.319,0.367628,0.49
59000,1,3.16854,-269.242,0.535965,0.495
59500,1,0.97728,-267.455,0.690834,0.454
60000,1,1.19944,-266.13,0.979973,0.462
60500,1,1.62657,-265.522,0.947994,0.472
61000,1,3.23401,-268.553,1.08347,0.4824
61500,1,-2.51408,-265.988,0.659549,0.528
62000,1,2.64599,-265.579,0.68622,0.495
62500,1,3.22522,-265.02,0.398682,0.45
63000,1,2.95772,-266.357,1.07319,0.478857
63500,1,3.44755,-267.297,0.944475,0.49
64000,1,4.58809,-266.444,0.236293,0.477
64500,2,4.36629,-266.685,1.97858,0.502
65000,1,4.57809,-268.221,0.217388,0.511
65500,1,3.87007,-268.12,0.590699,0.53
66000,2,5.61577,-275.648,1.33032,0.478833
66500,2,0.380297,-264.015,3.36258,0.576
67000,2,3.83153,-262.437,0.760922,0.49
